,MP3: BitRate = 32 kb/s,MP3: BitRate = 96 kb/s,MP3: BitRate = 128 kb/s,MP3: BitRate = 160 kb/s,MP3: BitRate = 192 kb/s,MP3: BitRate = 256 kb/s,MP3: BitRate = 320 kb/s,WAV: Bit Depth = 8,WAV: Bit Depth = 16,WAV: Bit Depth = 24
4000,"[261.1611633300781, 262.6707458496094, 269.5469970703125, 267.7492980957031, 269.3616638183594, 255.96279907226562, 261.19842529296875, 266.86822509765625, 266.1947937011719, 266.6595153808594, 264.85882568359375]","[266.65093994140625, 266.7254638671875, 271.09149169921875, 264.3157043457031, 263.4085693359375, 262.9596252441406, 269.2779541015625, 264.2381896972656, 264.5705261230469, 268.25823974609375, 267.6365661621094]","[270.74578857421875, 265.9179992675781, 268.7462158203125, 267.1427001953125, 265.47430419921875, 265.2567138671875, 264.6242980957031, 263.9334716796875, 260.52825927734375, 266.9283142089844, 265.7852478027344]","[263.0140075683594, 265.5821533203125, 267.79888916015625, 269.4652099609375, 265.6117248535156, 268.2677307128906, 268.5769958496094, 263.5799865722656, 264.93743896484375, 265.81463623046875, 265.5876159667969]","[268.4352722167969, 261.8488464355469, 270.38629150390625, 267.024169921875, 263.72454833984375, 269.9860534667969, 256.8547058105469, 267.5135498046875, 261.7420349121094, 266.65643310546875, 265.6940612792969]","[254.22523498535156, 265.4124755859375, 272.36004638671875, 267.42718505859375, 268.1136779785156, 258.5474853515625, 259.9215087890625, 263.17059326171875, 268.61041259765625, 262.1552429199219, 267.24822998046875]","[260.70855712890625, 265.9013977050781, 269.28985595703125, 267.3085021972656, 263.2672424316406, 266.6451416015625, 268.64813232421875, 265.5995178222656, 263.29150390625, 265.5204772949219, 263.3806457519531]","[286.5447692871094, 291.2815246582031, 292.7039794921875, 290.34228515625, 292.0453796386719, 290.15411376953125, 286.41253662109375, 292.73687744140625, 288.34814453125, 288.4399719238281, 289.083984375]","[302.8079833984375, 288.7146911621094, 290.9180908203125, 292.2757263183594, 287.51654052734375, 291.0552978515625, 288.5453186035156, 290.0892028808594, 285.58660888671875, 284.9413757324219, 286.22503662109375]","[290.26251220703125, 290.2115173339844, 289.4589538574219, 289.06219482421875, 279.93731689453125, 284.4289855957031, 291.6807556152344, 287.01568603515625, 288.22039794921875, 289.3451843261719, 289.7426452636719]"
8000,"[183.68905639648438, 186.47354125976562, 185.57151794433594, 182.90919494628906, 185.55360412597656, 182.7772674560547, 184.8067169189453, 184.82034301757812, 184.38978576660156, 184.06211853027344, 177.49708557128906]","[186.8899688720703, 183.8268280029297, 184.7453155517578, 184.34860229492188, 182.11099243164062, 175.8098602294922, 183.945068359375, 184.12643432617188, 185.11830139160156, 183.43118286132812, 180.74737548828125]","[186.29701232910156, 184.03182983398438, 180.37899780273438, 180.76414489746094, 182.560791015625, 184.3665008544922, 183.4379119873047, 182.646484375, 184.03504943847656, 182.52769470214844, 182.2208709716797]","[191.30908203125, 180.5063018798828, 185.16085815429688, 181.6190948486328, 183.53823852539062, 185.51055908203125, 183.97265625, 184.87120056152344, 185.49058532714844, 181.254638671875, 181.1302947998047]","[193.0724639892578, 184.80918884277344, 186.48379516601562, 183.29110717773438, 185.0595703125, 184.79197692871094, 181.14382934570312, 180.8390655517578, 182.7820281982422, 184.83045959472656, 179.37594604492188]","[179.08444213867188, 184.91970825195312, 187.66738891601562, 183.2779998779297, 186.85821533203125, 186.08758544921875, 180.3187713623047, 184.502685546875, 185.18173217773438, 182.8031005859375, 181.91481018066406]","[175.45950317382812, 186.095947265625, 185.7167205810547, 183.8422393798828, 184.5233612060547, 176.40185546875, 183.80172729492188, 180.39649963378906, 180.8212127685547, 182.9646759033203, 182.30772399902344]","[196.16856384277344, 179.19456481933594, 182.59173583984375, 179.51791381835938, 183.5016326904297, 180.8767547607422, 181.658447265625, 181.49192810058594, 180.9164276123047, 182.9960174560547, 180.92889404296875]","[182.4918670654297, 181.40753173828125, 179.85198974609375, 177.1046600341797, 178.98272705078125, 182.02529907226562, 184.08970642089844, 179.15859985351562, 183.45191955566406, 179.93154907226562, 179.9743194580078]","[192.20143127441406, 180.5918731689453, 185.29156494140625, 179.93215942382812, 182.91018676757812, 180.80191040039062, 180.74464416503906, 178.61627197265625, 182.73509216308594, 180.04904174804688, 181.8081817626953]"
16000,"[101.40713500976562, 101.91926574707031, 102.63951110839844, 103.14779663085938, 102.64494323730469, 102.31874084472656, 102.4758071899414, 100.28440856933594, 103.14143371582031, 101.8025894165039, 101.89092254638672]","[91.20890808105469, 101.2137680053711, 74.4006118774414, 102.9688949584961, 102.06782531738281, 100.38899230957031, 101.26081085205078, 101.45772552490234, 102.80286407470703, 101.8887939453125, 101.54583740234375]","[100.08222198486328, 100.63508605957031, 104.5073013305664, 103.1677017211914, 99.26588439941406, 104.02296447753906, 101.67743682861328, 100.9775619506836, 102.36446380615234, 102.0294418334961, 99.8644027709961]","[122.85601043701172, 101.43190002441406, 102.6506118774414, 100.5366439819336, 102.02519989013672, 102.03091430664062, 102.8411865234375, 101.78157806396484, 99.36014556884766, 100.84675598144531, 99.20306396484375]","[110.54374694824219, 100.71421813964844, 102.38458251953125, 102.79541778564453, 101.23527526855469, 102.02072143554688, 101.47409057617188, 99.60599517822266, 103.29700469970703, 101.1953353881836, 101.1242446899414]","[101.24066925048828, 100.8251953125, 102.53878021240234, 101.7712173461914, 101.60638427734375, 101.91561889648438, 103.25379943847656, 99.97718048095703, 101.54138946533203, 102.73222351074219, 101.3433609008789]","[105.63787841796875, 101.25624084472656, 102.12368774414062, 102.99382019042969, 102.54694366455078, 102.63616943359375, 102.3231201171875, 99.48786163330078, 101.09400177001953, 101.89085388183594, 100.249755859375]","[103.16605377197266, 98.36873626708984, 99.42768859863281, 98.55262756347656, 98.50955963134766, 98.78994750976562, 99.95870971679688, 96.221435546875, 98.40336608886719, 98.35999298095703, 97.41609191894531]","[98.623046875, 98.66850280761719, 99.4053955078125, 98.94253540039062, 98.79058837890625, 98.99129486083984, 97.98422241210938, 97.29261016845703, 98.0744400024414, 99.43899536132812, 97.37908935546875]","[96.8215560913086, 98.28937530517578, 99.74200439453125, 99.23322296142578, 98.12223052978516, 98.18235778808594, 99.09243774414062, 99.105712890625, 98.7688217163086, 72.36479949951172, 97.92874145507812]"
24000,"[85.61975860595703, 83.15399169921875, 82.7294921875, 82.45996856689453, 83.78868103027344, 83.68623352050781, 84.07422637939453, 82.30976104736328, 83.65109252929688, 82.61166381835938, 85.16401672363281]","[29.570131301879883, 29.52867889404297, 30.07720375061035, 28.200197219848633, 29.9567813873291, 30.2215633392334, 31.686187744140625, 30.050771713256836, 31.007484436035156, 29.99305534362793, 29.559207916259766]","[46.55913162231445, 30.091487884521484, 29.39390754699707, 27.56763458251953, 30.16608428955078, 28.535755157470703, 30.62798309326172, 30.692338943481445, 30.158004760742188, 30.82450294494629, 30.143142700195312]","[30.311559677124023, 28.75278663635254, 30.647470474243164, 30.732040405273438, 29.89944076538086, 35.20622634887695, 28.03223419189453, 30.546358108520508, 29.704387664794922, 30.643198013305664, 30.34206771850586]","[43.33715057373047, 27.885156631469727, 30.72793960571289, 30.316329956054688, 29.06903076171875, 30.40622901916504, 29.580860137939453, 30.812631607055664, 31.605701446533203, 30.307666778564453, 29.73855972290039]","[61.884071350097656, 29.46209716796875, 29.355409622192383, 30.569997787475586, 30.430259704589844, 30.599529266357422, 30.548660278320312, 30.404747009277344, 31.18553924560547, 31.13225555419922, 28.52069854736328]","[53.96856689453125, 29.316007614135742, 30.295879364013672, 29.065357208251953, 30.581031799316406, 30.311767578125, 31.556230545043945, 28.018110275268555, 30.023019790649414, 29.663043975830078, 29.52362632751465]","[37.66526412963867, 34.47119903564453, 34.360897064208984, 34.1281623840332, 34.9796257019043, 34.75311279296875, 32.3556022644043, 34.865055084228516, 34.4731330871582, 34.59071731567383, 34.260711669921875]","[35.10081100463867, 33.95676803588867, 33.60338592529297, 31.640869140625, 34.39582061767578, 33.994415283203125, 32.41196823120117, 32.47978591918945, 34.043357849121094, 31.78318214416504, 33.028751373291016]","[39.39262390136719, 34.039302825927734, 32.41482162475586, 33.13902282714844, 31.077611923217773, 34.192081451416016, 33.68779754638672, 32.04755401611328, 32.47146224975586, 32.848323822021484, 32.36512756347656]"
32000,"[103.85074615478516, 90.93608856201172, 92.82112121582031, 90.9266128540039, 91.0772476196289, 91.72029113769531, 92.40604400634766, 89.8719253540039, 90.4983901977539, 91.1612548828125, 90.56584930419922]","[43.00955581665039, 29.510805130004883, 28.366683959960938, 27.808900833129883, 29.353504180908203, 30.428752899169922, 28.288206100463867, 30.001220703125, 29.434112548828125, 28.91927719116211, 29.980060577392578]","[44.2431526184082, 29.167924880981445, 28.64599609375, 30.0031681060791, 29.493350982666016, 30.798694610595703, 29.40641212463379, 29.144723892211914, 29.6505126953125, 29.355070114135742, 28.88713264465332]","[38.536888122558594, 29.00874900817871, 29.646888732910156, 29.842214584350586, 28.19129180908203, 31.10047149658203, 29.35581398010254, 28.115833282470703, 30.0721378326416, 27.901874542236328, 28.085102081298828]","[31.55533790588379, 31.459054946899414, 30.147144317626953, 30.918357849121094, 31.372961044311523, 30.425048828125, 29.42523193359375, 30.811031341552734, 29.420597076416016, 59.556175231933594, 30.351911544799805]","[55.00374984741211, 32.32493209838867, 31.29943084716797, 30.64480972290039, 30.075923919677734, 33.48347473144531, 30.660512924194336, 32.57140350341797, 32.249393463134766, 30.96973991394043, 32.48617935180664]","[24.876861572265625, 31.3890323638916, 31.467557907104492, 30.636934280395508, 33.32319641113281, 32.839202880859375, 33.692138671875, 33.66714096069336, 30.29793930053711, 32.93252944946289, 32.99047088623047]","[25.190492630004883, 30.30010414123535, 33.59710693359375, 31.487218856811523, 31.47294044494629, 31.45716667175293, 33.33754348754883, 33.626670837402344, 33.75333786010742, 33.47294998168945, 31.122787475585938]","[45.76054000854492, 30.978769302368164, 32.4560432434082, 32.668643951416016, 32.900108337402344, 33.67599105834961, 30.620813369750977, 29.60335922241211, 30.246858596801758, 32.299015045166016, 32.51398468017578]","[44.248172760009766, 32.69630813598633, 32.80009078979492, 29.94593048095703, 32.24203872680664, 33.264305114746094, 32.23430252075195, 29.47992515563965, 31.04405403137207, 32.751220703125, 30.603715896606445]"
44100,"[97.97639465332031, 99.4462890625, 99.6961441040039, 97.03459167480469, 89.74531555175781, 96.77587127685547, 101.1135482788086, 99.23848724365234, 98.7237777709961, 99.88938903808594, 97.28898620605469]","[50.9776496887207, 29.3637638092041, 30.614276885986328, 28.7871150970459, 30.978384017944336, 30.34857940673828, 29.88162612915039, 27.674604415893555, 28.82729721069336, 29.278465270996094, 28.032930374145508]","[40.165771484375, 28.36209487915039, 30.017168045043945, 30.302099227905273, 30.047714233398438, 28.877840042114258, 29.69582748413086, 30.91913604736328, 28.76150894165039, 27.755416870117188, 28.09619903564453]","[25.442035675048828, 28.26712417602539, 29.37820053100586, 30.62605094909668, 29.108871459960938, 29.226408004760742, 28.28122329711914, 29.539541244506836, 30.255800247192383, 29.658315658569336, 28.00977897644043]","[40.615501403808594, 29.007116317749023, 29.591510772705078, 30.300758361816406, 29.0007266998291, 28.626699447631836, 29.908981323242188, 28.27138900756836, 31.51103973388672, 30.46465492248535, 31.661998748779297]","[32.11545181274414, 33.37744903564453, 32.25811004638672, 32.64179229736328, 45.48246765136719, 32.75430679321289, 31.630212783813477, 30.92052459716797, 32.47528076171875, 32.80757522583008, 31.021648406982422]","[44.867977142333984, 31.753217697143555, 32.51495361328125, 33.193302154541016, 32.80580139160156, 32.99447250366211, 33.38437271118164, 30.5919246673584, 31.124649047851562, 30.015636444091797, 32.135658264160156]","[55.7454833984375, 31.94260025024414, 33.24452590942383, 33.296356201171875, 32.72001647949219, 33.1693229675293, 32.03167724609375, 31.559858322143555, 33.36564636230469, 30.97816276550293, 31.42117691040039]","[34.74265670776367, 32.14558792114258, 30.520233154296875, 32.2612190246582, 29.669748306274414, 31.679954528808594, 32.88227081298828, 33.006134033203125, 33.54262161254883, 32.55137252807617, 33.388031005859375]","[48.16068649291992, 32.26762390136719, 32.63201141357422, 32.853694915771484, 32.66596603393555, 32.58120346069336, 32.83122634887695, 32.81890106201172, 33.39167785644531, 32.45450973510742, 33.66455841064453]"
48000,"[119.34239959716797, 102.9290771484375, 103.33856201171875, 101.75157165527344, 104.56299591064453, 102.2022476196289, 103.28285217285156, 101.8653793334961, 101.75556945800781, 102.40544891357422, 101.20513153076172]","[37.535614013671875, 30.49834442138672, 30.019916534423828, 29.839326858520508, 30.752531051635742, 29.194856643676758, 30.7226505279541, 28.195884704589844, 30.94783592224121, 30.566770553588867, 29.707420349121094]","[32.24732971191406, 28.041378021240234, 29.22359848022461, 29.438343048095703, 29.666091918945312, 29.391494750976562, 29.811670303344727, 29.599699020385742, 29.894624710083008, 28.639938354492188, 27.78697395324707]","[41.22335433959961, 28.33740997314453, 28.246013641357422, 29.39551544189453, 30.36997413635254, 30.413131713867188, 28.885269165039062, 29.54578971862793, 29.197490692138672, 29.903892517089844, 30.819604873657227]","[22.925395965576172, 30.32764434814453, 29.889039993286133, 31.656034469604492, 28.961584091186523, 30.38540267944336, 29.82447624206543, 28.74853515625, 30.794876098632812, 31.222084045410156, 30.135496139526367]","[27.005996704101562, 32.40550231933594, 32.32432556152344, 31.598613739013672, 30.89029312133789, 33.170021057128906, 30.63922691345215, 32.320804595947266, 29.80925750732422, 33.16320037841797, 31.33421516418457]","[33.08395767211914, 31.055570602416992, 30.524438858032227, 32.6251220703125, 31.390695571899414, 31.798322677612305, 40.05570602416992, 31.0810489654541, 32.67330551147461, 30.632349014282227, 32.697288513183594]","[46.23968505859375, 31.186771392822266, 32.44193649291992, 31.71947479248047, 33.95863723754883, 31.508159637451172, 30.82868766784668, 32.61371994018555, 33.037357330322266, 31.19367790222168, 32.52790069580078]","[32.426177978515625, 32.535587310791016, 31.204599380493164, 32.82555389404297, 31.61546516418457, 32.05752182006836, 33.233551025390625, 32.00484085083008, 33.19288635253906, 29.665285110473633, 32.24081039428711]","[23.212779998779297, 29.964969635009766, 30.877099990844727, 30.208045959472656, 32.760501861572266, 33.26133728027344, 31.812944412231445, 33.15607452392578, 30.76351547241211, 33.748836517333984, 29.837717056274414]"
82000,,,,,,,,"[40.61771011352539, 32.20710372924805, 31.06903648376465, 31.431806564331055, 31.387712478637695, 30.773977279663086, 29.999713897705078, 32.272003173828125, 31.627750396728516, 33.426692962646484, 30.019268035888672]","[47.69242477416992, 29.12353515625, 31.93291664123535, 30.799448013305664, 30.115127563476562, 29.10793113708496, 30.942138671875, 30.236297607421875, 30.289777755737305, 30.69232749938965, 29.776443481445312]","[30.588064193725586, 31.1144962310791, 30.108240127563477, 29.967267990112305, 32.466400146484375, 32.683502197265625, 33.01148223876953, 30.86097526550293, 41.55445861816406, 31.494583129882812, 31.10540199279785]"
96000,,,,,,,,"[31.384183883666992, 30.530899047851562, 28.815279006958008, 31.878631591796875, 30.947826385498047, 30.10968589782715, 31.166141510009766, 29.398386001586914, 30.657878875732422, 31.851654052734375, 32.37792205810547]","[29.460546493530273, 31.839311599731445, 30.612499237060547, 30.654804229736328, 30.06435203552246, 31.949848175048828, 31.055217742919922, 29.890792846679688, 28.638734817504883, 29.435266494750977, 30.318859100341797]","[39.370914459228516, 30.889503479003906, 31.693632125854492, 31.680341720581055, 29.396963119506836, 30.234588623046875, 30.59654998779297, 31.96250343322754, 29.28387451171875, 29.908721923828125, 30.292068481445312]"
192000,,,,,,,,"[40.280296325683594, 26.858989715576172, 26.119630813598633, 26.834199905395508, 28.243667602539062, 25.9484806060791, 27.119592666625977, 28.240966796875, 27.570173263549805, 26.04827880859375, 26.881668090820312]","[27.01708221435547, 49.245426177978516, 27.2971134185791, 25.539716720581055, 27.565475463867188, 27.002222061157227, 27.2784481048584, 27.430482864379883, 28.538785934448242, 28.175987243652344, 26.9547061920166]","[27.11920738220215, 25.86653709411621, 26.553848266601562, 27.735733032226562, 28.435579299926758, 26.903278350830078, 26.541038513183594, 28.10037612915039, 25.6578311920166, 26.490163803100586]"
