,MP3: BitRate = 32 kb/s,MP3: BitRate = 96 kb/s,MP3: BitRate = 128 kb/s,MP3: BitRate = 160 kb/s,MP3: BitRate = 192 kb/s,MP3: BitRate = 256 kb/s,MP3: BitRate = 320 kb/s,WAV: Bit Depth = 8,WAV: Bit Depth = 16,WAV: Bit Depth = 24
4000,"[170.24554443359375, 178.81382751464844, 180.9968719482422, 177.2521209716797, 184.14012145996094, 185.5975341796875, 185.2569580078125, 174.30137634277344, 181.69715881347656, 170.28872680664062, 176.8304901123047]","[158.97682189941406, 167.22703552246094, 186.09437561035156, 171.351318359375, 180.3470001220703, 184.836181640625, 181.86546325683594, 175.99586486816406, 183.78453063964844, 177.6010284423828, 177.499755859375]","[164.0006561279297, 178.25799560546875, 175.24896240234375, 180.03782653808594, 182.35032653808594, 184.28773498535156, 182.82164001464844, 164.9667205810547, 181.26925659179688, 180.9872589111328, 182.0538787841797]","[145.25393676757812, 185.67343139648438, 175.88137817382812, 184.5550537109375, 184.68841552734375, 177.49996948242188, 164.26214599609375, 188.0258026123047, 183.25814819335938, 174.90728759765625, 180.65760803222656]","[168.59764099121094, 177.80337524414062, 176.8187255859375, 180.1211395263672, 182.9596710205078, 188.23863220214844, 179.93650817871094, 184.35678100585938, 181.88302612304688, 174.95684814453125, 174.63331604003906]","[160.98089599609375, 184.78662109375, 179.65069580078125, 183.1865692138672, 182.08319091796875, 188.15357971191406, 168.8777618408203, 181.55641174316406, 185.39727783203125, 180.4789581298828, 176.55760192871094]","[187.93267822265625, 181.33993530273438, 185.49240112304688, 186.31121826171875, 181.4884796142578, 180.29957580566406, 182.49490356445312, 179.82131958007812, 168.31422424316406, 177.76414489746094, 178.62852478027344]","[188.2586669921875, 195.16429138183594, 186.42935180664062, 192.3907012939453, 187.87060546875, 198.5269775390625, 189.99229431152344, 198.08575439453125, 193.50677490234375, 190.19525146484375, 192.64950561523438]","[190.09478759765625, 188.4501953125, 193.174072265625, 195.22772216796875, 191.9080352783203, 197.36000061035156, 189.8453369140625, 180.57174682617188, 193.4458465576172, 194.85037231445312, 188.5992889404297]","[227.6941680908203, 198.62765502929688, 188.45513916015625, 197.3959503173828, 191.44151306152344, 193.3959197998047, 191.80233764648438, 192.47311401367188, 196.297607421875, 196.5742950439453, 189.56460571289062]"
6000,"[95.98207092285156, 128.91171264648438, 134.34384155273438, 134.63856506347656, 131.58041381835938, 130.12181091308594, 127.6655502319336, 131.97891235351562, 128.72874450683594, 129.4490966796875, 129.224609375]","[131.31495666503906, 129.8344268798828, 133.38253784179688, 129.14309692382812, 143.76889038085938, 127.8228988647461, 131.53396606445312, 130.27552795410156, 120.44315338134766, 134.8651580810547, 131.34771728515625]","[119.52246856689453, 131.781005859375, 129.13528442382812, 126.50909423828125, 132.94003295898438, 135.25131225585938, 129.3154296875, 126.83187866210938, 127.00104522705078, 127.1084976196289, 128.5532684326172]","[115.17835235595703, 136.26223754882812, 127.7733383178711, 126.91268157958984, 128.1774444580078, 129.26670837402344, 129.4698028564453, 125.21903228759766, 130.82064819335938, 133.0349578857422, 129.0157928466797]","[124.29631805419922, 130.23878479003906, 125.9835205078125, 132.95298767089844, 131.67498779296875, 131.4514617919922, 131.11636352539062, 129.6183319091797, 129.63157653808594, 126.64771270751953, 131.60316467285156]","[122.60135650634766, 133.27987670898438, 131.1363067626953, 128.50193786621094, 128.86036682128906, 129.82435607910156, 131.50579833984375, 130.66024780273438, 124.17936706542969, 124.91807556152344, 135.42575073242188]","[112.59144592285156, 131.46705627441406, 128.80320739746094, 131.1386260986328, 132.77845764160156, 122.9095230102539, 128.5517120361328, 134.1855926513672, 129.99066162109375, 124.26722717285156, 134.65414428710938]","[151.34999084472656, 148.13455200195312, 145.62477111816406, 145.83229064941406, 146.7664031982422, 136.26441955566406, 153.5952911376953, 154.06280517578125, 148.72434997558594, 148.78762817382812, 150.4242401123047]","[128.5925750732422, 149.51177978515625, 150.3141632080078, 147.88833618164062, 149.8163299560547, 152.2233123779297, 149.5396728515625, 149.51162719726562, 151.09698486328125, 147.63330078125, 152.4429931640625]","[133.33212280273438, 147.77061462402344, 152.30166625976562, 146.16192626953125, 149.58767700195312, 150.45408630371094, 149.5123748779297, 150.07571411132812, 145.11839294433594, 152.177001953125, 151.01385498046875]"
8000,"[99.8486557006836, 109.1850357055664, 116.07361602783203, 112.99946594238281, 111.02615356445312, 110.78471374511719, 108.50350952148438, 87.29258728027344, 110.13690185546875, 110.96978759765625, 114.88314056396484]","[94.36219787597656, 114.04644012451172, 101.5560531616211, 107.8114013671875, 108.75548553466797, 109.7390365600586, 104.22722625732422, 109.58515167236328, 115.7251205444336, 109.63347625732422, 110.65315246582031]","[103.34609985351562, 108.37950897216797, 107.8660888671875, 109.36724090576172, 108.03672790527344, 111.52979278564453, 101.73421478271484, 107.1615219116211, 106.29361724853516, 105.62939453125, 109.34808349609375]","[92.19770050048828, 111.31919860839844, 108.49232482910156, 106.19183349609375, 105.88031768798828, 104.5428695678711, 115.89319610595703, 107.1689682006836, 107.31724548339844, 105.9561767578125, 104.18457794189453]","[77.4386978149414, 108.44918060302734, 108.52043914794922, 107.62242889404297, 108.3884048461914, 106.6802749633789, 110.50955200195312, 106.5768051147461, 112.25862884521484, 106.73814392089844, 112.74431610107422]","[92.74717712402344, 112.45326232910156, 111.42251586914062, 115.35637664794922, 104.8233871459961, 108.67333984375, 111.07931518554688, 112.65936279296875, 107.51042175292969, 109.18900299072266, 107.5379867553711]","[91.4942855834961, 111.94010925292969, 114.51876068115234, 115.17437744140625, 106.57134246826172, 106.72008514404297, 112.02497100830078, 113.12960052490234, 108.84709930419922, 108.08727264404297, 108.67814636230469]","[104.40438842773438, 106.97378540039062, 113.10838317871094, 108.48148345947266, 106.71987915039062, 106.34840393066406, 99.61442565917969, 104.64349365234375, 101.5738525390625, 104.663818359375, 103.22891235351562]","[78.0641098022461, 115.02140045166016, 98.83081817626953, 109.47139739990234, 111.11154174804688, 115.19246673583984, 106.95157623291016, 107.57771301269531, 98.91144561767578, 117.50723266601562, 110.42182159423828]","[101.44063568115234, 107.84512329101562, 120.7957992553711, 111.9951400756836, 115.48230743408203, 107.67777252197266, 95.9433364868164, 109.57928466796875, 106.44583892822266, 114.68476104736328, 105.82219696044922]"
10000,"[74.3453369140625, 85.67823028564453, 74.45553588867188, 85.10391235351562, 81.03749084472656, 85.84989166259766, 84.462158203125, 87.29651641845703, 80.94952392578125, 89.36886596679688, 80.76029205322266]","[86.55561065673828, 79.28462219238281, 82.68370056152344, 80.20539855957031, 73.4532470703125, 85.87971496582031, 74.59215545654297, 87.5631332397461, 83.43543243408203, 83.34135437011719, 84.78611755371094]","[81.23698425292969, 76.31100463867188, 80.00395202636719, 77.43089294433594, 83.1970443725586, 84.95072937011719, 78.06832885742188, 74.23558807373047, 77.06214141845703, 67.75492095947266, 80.98445129394531]","[79.7199478149414, 78.80632019042969, 80.19872283935547, 85.1439437866211, 79.92794799804688, 80.49898529052734, 79.5454330444336, 82.9799575805664, 81.118896484375, 85.72193145751953, 73.30668640136719]","[78.48776245117188, 79.65444946289062, 81.32783508300781, 78.83014678955078, 78.2430648803711, 82.08723449707031, 82.44512176513672, 76.22885131835938, 84.6315689086914, 80.94572448730469, 79.69269561767578]","[83.1307373046875, 81.34908294677734, 79.7615966796875, 80.81013488769531, 81.37328338623047, 86.65531158447266, 78.37052154541016, 82.85118865966797, 81.28693389892578, 82.44947052001953, 84.31398010253906]","[83.72419738769531, 81.20841217041016, 82.75338745117188, 60.44951248168945, 81.06800842285156, 81.49199676513672, 80.55557250976562, 82.2544937133789, 76.80368041992188, 82.02296447753906, 77.35074615478516]","[74.71077728271484, 89.20095825195312, 85.43537902832031, 83.8099136352539, 84.46661376953125, 84.09960174560547, 84.31880950927734, 84.44961547851562, 85.81856536865234, 83.47856903076172, 75.62486267089844]","[91.25284576416016, 102.45024108886719, 99.76004028320312, 101.14479064941406, 101.6419677734375, 106.38436889648438, 93.79328918457031, 97.34869384765625, 97.95162200927734, 113.52400207519531, 95.39554595947266]","[84.92181396484375, 89.7532958984375, 87.42991638183594, 93.80382537841797, 88.27180480957031, 93.37482452392578, 82.63397216796875, 85.98753356933594, 86.38467407226562, 91.19168090820312, 91.77384948730469]"
12000,"[61.444766998291016, 77.72002410888672, 62.42094421386719, 64.7679443359375, 72.38521575927734, 83.08194732666016, 68.39604187011719, 69.3691177368164, 73.69891357421875, 72.578125, 67.38785552978516]","[71.64659881591797, 75.59700012207031, 57.03046417236328, 70.76451873779297, 74.07368469238281, 61.57747268676758, 69.04988861083984, 70.54399108886719, 70.00064849853516, 71.93974304199219, 66.07249450683594]","[70.11731719970703, 70.48277282714844, 71.71430206298828, 70.76005554199219, 67.97203063964844, 73.29141998291016, 73.5612564086914, 74.55683135986328, 70.72817993164062, 67.18186950683594, 62.174686431884766]","[70.11152648925781, 75.3216323852539, 70.62188720703125, 65.57532501220703, 66.99885559082031, 76.85064697265625, 62.87254333496094, 81.71380615234375, 72.50140380859375, 68.19157409667969, 65.60379791259766]","[72.87654876708984, 64.48363494873047, 72.73849487304688, 76.16773223876953, 65.9074478149414, 75.99242401123047, 67.62096405029297, 71.35691833496094, 69.47583770751953, 75.91451263427734, 73.28504943847656]","[78.03987884521484, 74.57845306396484, 63.16239929199219, 74.32305145263672, 70.59579467773438, 74.9770736694336, 71.44343566894531, 71.41230773925781, 70.47721099853516, 68.01004791259766, 63.3089599609375]","[66.5649185180664, 73.11121368408203, 73.20269775390625, 73.65704345703125, 89.24533081054688, 71.69109344482422, 75.6868667602539, 68.59101867675781, 62.09311294555664, 73.62992095947266, 72.24839782714844]","[59.68156814575195, 68.56568908691406, 68.27197265625, 70.4201431274414, 67.01740264892578, 65.56397247314453, 60.54670333862305, 66.31697845458984, 69.49087524414062, 68.60750579833984, 70.06575775146484]","[57.09876251220703, 73.49749755859375, 72.49777221679688, 72.6566162109375, 73.6105728149414, 71.12433624267578, 73.90689849853516, 70.98847198486328, 70.457763671875, 76.0578384399414, 69.60359191894531]","[41.15500259399414, 73.00221252441406, 72.12291717529297, 69.61170959472656, 74.57498168945312, 74.15825653076172, 66.4183349609375, 72.37937927246094, 72.09152221679688, 69.769287109375, 59.10142135620117]"
16000,"[57.175086975097656, 53.47202682495117, 70.29103088378906, 54.886253356933594, 59.5557861328125, 60.36674880981445, 60.19821548461914, 56.164955139160156, 52.58708953857422, 50.8438720703125, 58.289642333984375]","[57.319129943847656, 68.9363021850586, 57.138267517089844, 63.612815856933594, 57.240238189697266, 60.398033142089844, 58.69104766845703, 59.304603576660156, 60.326904296875, 61.482261657714844, 59.188377380371094]","[58.37010955810547, 62.02163314819336, 61.043453216552734, 61.49784469604492, 59.596893310546875, 56.98612594604492, 56.5848388671875, 62.344322204589844, 53.434444427490234, 58.39948654174805, 52.18305587768555]","[56.936710357666016, 65.32059478759766, 60.662132263183594, 59.61564636230469, 61.62257385253906, 62.46162414550781, 59.125892639160156, 55.947872161865234, 58.418312072753906, 58.44194793701172, 56.890262603759766]","[60.04213333129883, 60.650177001953125, 62.485233306884766, 59.423484802246094, 60.47036361694336, 64.9000015258789, 53.20042037963867, 54.17830276489258, 51.493003845214844, 60.7906494140625, 58.59144973754883]","[40.55109786987305, 57.62494659423828, 60.40473556518555, 61.69685745239258, 59.812808990478516, 61.360660552978516, 55.76306915283203, 55.948734283447266, 54.334346771240234, 58.24456787109375, 53.046138763427734]","[73.11422729492188, 59.42210006713867, 58.13514709472656, 64.21942138671875, 60.50523376464844, 61.923728942871094, 52.320396423339844, 55.1292610168457, 60.179359436035156, 59.995460510253906, 55.76652526855469]","[69.52544403076172, 59.57737350463867, 61.40916442871094, 61.72085952758789, 60.0366096496582, 58.89934158325195, 57.31934356689453, 52.439971923828125, 53.395511627197266, 58.27550506591797, 57.11848831176758]","[49.728614807128906, 60.07368469238281, 59.82893753051758, 62.34968948364258, 61.4185905456543, 55.5042724609375, 58.79036331176758, 61.00144958496094, 53.903228759765625, 60.7877311706543, 61.60749053955078]","[53.39167785644531, 62.144859313964844, 58.571739196777344, 59.3280029296875, 61.50239944458008, 60.67520523071289, 60.504886627197266, 64.68746948242188, 60.607601165771484, 60.31028747558594, 61.02878952026367]"
20000,"[53.966583251953125, 52.226898193359375, 49.15351486206055, 53.92108917236328, 52.032108306884766, 53.09721374511719, 45.864898681640625, 47.02403259277344, 46.6358528137207, 52.178646087646484, 49.499263763427734]","[41.30941390991211, 41.23123550415039, 45.04723358154297, 41.825103759765625, 42.363887786865234, 39.460418701171875, 46.84075927734375, 42.206703186035156, 45.60037612915039, 43.49661636352539, 40.596378326416016]","[45.553279876708984, 41.62153625488281, 37.57175064086914, 43.224185943603516, 41.4865837097168, 46.958106994628906, 40.52686309814453, 44.225807189941406, 38.13962173461914, 41.2618522644043, 40.1947135925293]","[40.15782165527344, 42.62143325805664, 39.77302932739258, 42.64543914794922, 42.13994598388672, 41.60262680053711, 43.02638244628906, 44.524085998535156, 38.95520782470703, 42.84669876098633, 41.57570266723633]","[49.367759704589844, 43.32487106323242, 38.23445510864258, 43.903160095214844, 40.90762710571289, 43.42123031616211, 41.18537902832031, 41.620906829833984, 39.48896408081055, 43.97580337524414, 41.56678771972656]","[48.600006103515625, 42.990638732910156, 40.65127944946289, 42.860328674316406, 44.661563873291016, 42.46653366088867, 41.42767333984375, 40.094905853271484, 41.647953033447266, 43.03757858276367, 41.60598373413086]","[42.65425491333008, 46.40242004394531, 40.83152770996094, 45.600257873535156, 42.68165969848633, 40.58698272705078, 39.226409912109375, 43.13119888305664, 52.80195236206055, 42.478233337402344, 41.256412506103516]","[55.729984283447266, 51.922176361083984, 48.14326477050781, 51.65660095214844, 51.765625, 49.57431411743164, 48.89271926879883, 49.35400390625, 49.666236877441406, 49.982765197753906, 50.95870590209961]","[48.766090393066406, 47.96552276611328, 45.56486892700195, 50.46148681640625, 47.12692642211914, 48.471641540527344, 46.512672424316406, 52.02690505981445, 50.35446548461914, 47.927955627441406, 48.463623046875]","[48.422607421875, 49.32574462890625, 43.529727935791016, 48.634674072265625, 51.96633529663086, 49.3177490234375, 42.26053237915039, 50.97450256347656, 47.20523452758789, 49.53099822998047, 50.56928253173828]"
24000,"[49.93162155151367, 49.29806900024414, 51.97774124145508, 47.72254180908203, 48.53321838378906, 50.781288146972656, 44.354042053222656, 48.00464630126953, 43.283058166503906, 47.201805114746094, 49.23167037963867]","[58.902774810791016, 42.285335540771484, 40.36321258544922, 43.35460662841797, 37.6869010925293, 40.565887451171875, 38.380638122558594, 42.804542541503906, 39.712646484375, 42.6915168762207, 41.08852005004883]","[59.714744567871094, 43.27793884277344, 37.935829162597656, 43.115901947021484, 41.222442626953125, 36.089420318603516, 40.105953216552734, 41.072635650634766, 41.08396530151367, 37.91265869140625, 40.7209587097168]","[54.585880279541016, 42.42580795288086, 41.17129898071289, 43.95066452026367, 41.99287414550781, 39.261661529541016, 39.54770278930664, 39.42903137207031, 39.85416030883789, 40.37534713745117, 40.09701919555664]","[46.15652847290039, 42.362098693847656, 40.97764587402344, 43.46169662475586, 39.641563415527344, 37.31865310668945, 38.42477035522461, 39.32912826538086, 39.24858474731445, 39.628482818603516, 41.51029968261719]","[52.59666061401367, 40.04655838012695, 40.130157470703125, 40.72919464111328, 39.86884307861328, 41.970802307128906, 40.5965576171875, 41.38032913208008, 41.543113708496094, 43.81410598754883, 41.311710357666016]","[77.99465942382812, 41.65399169921875, 41.514122009277344, 42.26016616821289, 39.796756744384766, 40.408443450927734, 41.5784797668457, 41.05173110961914, 39.64922332763672, 43.5554313659668, 40.99306106567383]","[64.95361328125, 56.37617874145508, 52.67521286010742, 54.92914962768555, 54.8331184387207, 50.80669021606445, 53.310203552246094, 54.437259674072266, 55.869140625, 54.5860481262207, 54.89649963378906]","[41.49774932861328, 42.80695724487305, 39.769447326660156, 41.876888275146484, 42.50448226928711, 39.874351501464844, 39.919189453125, 39.63492202758789, 41.2065315246582, 38.469139099121094, 41.31211471557617]","[42.58005905151367, 40.02649688720703, 39.15773010253906, 40.774566650390625, 41.07693099975586, 39.94257354736328, 39.22666549682617, 42.02839279174805, 41.47705841064453, 39.5383186340332, 40.79983901977539]"
28000,"[45.55661392211914, 52.11664581298828, 52.888614654541016, 53.28676986694336, 56.06782913208008, 52.34745788574219, 42.738929748535156, 55.90383529663086, 54.53349304199219, 52.21903610229492, 53.93684005737305]","[42.01287078857422, 40.642391204833984, 40.49189376831055, 41.1816520690918, 39.07839584350586, 40.191768646240234, 37.251102447509766, 34.89356994628906, 38.86872482299805, 38.164894104003906, 39.26997756958008]","[43.233577728271484, 39.398841857910156, 37.81427001953125, 39.47063446044922, 40.08709716796875, 38.875850677490234, 40.36933898925781, 39.774208068847656, 44.55769348144531, 39.764644622802734, 41.502079010009766]","[69.14129638671875, 37.53846740722656, 39.786399841308594, 41.80842590332031, 40.478553771972656, 40.43950653076172, 40.226505279541016, 36.51594543457031, 39.604576110839844, 38.49162673950195, 42.097328186035156]","[65.0141830444336, 37.13086700439453, 42.68593215942383, 44.73794174194336, 38.115333557128906, 39.76029586791992, 43.59027862548828, 36.58859634399414, 41.057674407958984, 39.33449172973633, 39.61518478393555]","[41.98114776611328, 39.003265380859375, 40.883968353271484, 42.06409454345703, 40.601844787597656, 40.400272369384766, 42.931888580322266, 38.07573699951172, 39.437381744384766, 38.65791320800781, 42.53684616088867]","[43.118431091308594, 39.206092834472656, 42.457340240478516, 40.93722915649414, 43.922786712646484, 43.120914459228516, 40.494197845458984, 42.0164680480957, 40.086708068847656, 41.7265625, 39.831298828125]","[67.26399993896484, 54.951961517333984, 54.459800720214844, 54.95512008666992, 52.329524993896484, 49.65207290649414, 51.636146545410156, 52.55774688720703, 54.09382629394531, 53.10392379760742, 54.46315002441406]","[38.59385299682617, 40.22850036621094, 41.682945251464844, 41.21882629394531, 40.967288970947266, 40.53123474121094, 40.493980407714844, 44.81886291503906, 41.05870056152344, 41.34662628173828, 41.20480728149414]","[39.909568786621094, 43.379032135009766, 40.4768180847168, 41.484195709228516, 37.9134635925293, 38.362953186035156, 40.67229461669922, 41.72494888305664, 40.49846649169922, 42.829322814941406, 39.94786834716797]"
32000,"[52.759952545166016, 56.46940994262695, 50.79582595825195, 56.60055160522461, 57.296295166015625, 55.24518585205078, 51.968482971191406, 56.651145935058594, 51.191650390625, 48.00634765625, 51.99309158325195]","[50.169517517089844, 42.03746795654297, 36.676658630371094, 40.46186065673828, 37.70718002319336, 40.92390060424805, 42.208335876464844, 38.04200744628906, 39.075889587402344, 40.018890380859375, 37.984031677246094]","[53.12353515625, 42.18922424316406, 39.70444869995117, 40.320369720458984, 39.993186950683594, 42.07349395751953, 39.648048400878906, 37.714141845703125, 40.17666244506836, 40.96684265136719, 41.5894775390625]","[55.956024169921875, 42.86714172363281, 40.680992126464844, 41.43612289428711, 40.575401306152344, 41.39979934692383, 41.15045928955078, 35.80036544799805, 42.91328430175781, 42.392704010009766, 43.49335861206055]","[66.28793334960938, 42.78109359741211, 42.34774398803711, 41.39823913574219, 41.41122055053711, 42.22168731689453, 43.45630645751953, 39.102439880371094, 42.352813720703125, 42.88320541381836, 43.698307037353516]","[56.22262191772461, 42.31597137451172, 40.09743118286133, 41.678287506103516, 39.62403869628906, 44.90236282348633, 43.52470779418945, 38.72114181518555, 43.23774719238281, 43.24822235107422, 43.138710021972656]","[41.20930862426758, 43.38217544555664, 40.23648452758789, 41.543392181396484, 39.23340606689453, 43.67433166503906, 41.85960388183594, 42.09033966064453, 42.169219970703125, 41.22966766357422, 40.145545959472656]","[54.88164520263672, 52.320064544677734, 53.29167938232422, 53.612388610839844, 52.49559783935547, 52.00661087036133, 50.66609573364258, 49.776031494140625, 55.512107849121094, 52.98972702026367, 54.25749969482422]","[52.39823532104492, 41.336761474609375, 44.414615631103516, 40.85226058959961, 41.03763961791992, 40.65384292602539, 40.22760009765625, 35.89619827270508, 40.06791305541992, 39.014854431152344, 41.947235107421875]","[59.392696380615234, 40.17544937133789, 40.54104232788086, 42.279747009277344, 39.08683395385742, 42.90997314453125, 39.0229377746582, 37.136905670166016, 40.97274398803711, 39.146141052246094, 39.32878875732422]"
