,MP3: BitRate = 32 kb/s,MP3: BitRate = 96 kb/s,MP3: BitRate = 128 kb/s,MP3: BitRate = 160 kb/s,MP3: BitRate = 192 kb/s,MP3: BitRate = 256 kb/s,MP3: BitRate = 320 kb/s,WAV: Bit Depth = 8,WAV: Bit Depth = 16,WAV: Bit Depth = 24
4000,"[177.2521209716797, 170.24554443359375, 180.9968719482422, 170.28872680664062, 181.69715881347656, 178.81382751464844, 174.30137634277344, 184.14012145996094, 185.5975341796875, 185.2569580078125, 176.8304901123047]","[175.99586486816406, 183.78453063964844, 181.86546325683594, 177.499755859375, 171.351318359375, 158.97682189941406, 180.3470001220703, 177.6010284423828, 167.22703552246094, 184.836181640625, 186.09437561035156]","[178.25799560546875, 164.0006561279297, 182.0538787841797, 180.9872589111328, 182.82164001464844, 175.24896240234375, 182.35032653808594, 164.9667205810547, 184.28773498535156, 180.03782653808594, 181.26925659179688]","[174.90728759765625, 164.26214599609375, 177.49996948242188, 145.25393676757812, 183.25814819335938, 175.88137817382812, 185.67343139648438, 184.68841552734375, 188.0258026123047, 180.65760803222656, 184.5550537109375]","[179.93650817871094, 188.23863220214844, 176.8187255859375, 182.9596710205078, 174.63331604003906, 174.95684814453125, 184.35678100585938, 181.88302612304688, 177.80337524414062, 168.59764099121094, 180.1211395263672]","[179.65069580078125, 160.98089599609375, 184.78662109375, 176.55760192871094, 183.1865692138672, 168.8777618408203, 188.15357971191406, 180.4789581298828, 181.55641174316406, 185.39727783203125, 182.08319091796875]","[180.29957580566406, 181.33993530273438, 182.49490356445312, 181.4884796142578, 178.62852478027344, 186.31121826171875, 179.82131958007812, 177.76414489746094, 168.31422424316406, 187.93267822265625, 185.49240112304688]","[193.50677490234375, 190.19525146484375, 192.64950561523438, 198.08575439453125, 192.3907012939453, 189.99229431152344, 187.87060546875, 198.5269775390625, 186.42935180664062, 188.2586669921875, 195.16429138183594]","[191.9080352783203, 197.36000061035156, 195.22772216796875, 189.8453369140625, 193.4458465576172, 194.85037231445312, 188.5992889404297, 180.57174682617188, 193.174072265625, 188.4501953125, 190.09478759765625]","[191.80233764648438, 193.3959197998047, 189.56460571289062, 196.5742950439453, 196.297607421875, 192.47311401367188, 188.45513916015625, 197.3959503173828, 191.44151306152344, 198.62765502929688, 227.6941680908203]"
6000,"[129.4490966796875, 95.98207092285156, 129.224609375, 131.97891235351562, 131.58041381835938, 134.34384155273438, 130.12181091308594, 128.72874450683594, 127.6655502319336, 128.91171264648438, 134.63856506347656]","[130.27552795410156, 143.76889038085938, 129.14309692382812, 133.38253784179688, 131.31495666503906, 120.44315338134766, 131.34771728515625, 134.8651580810547, 129.8344268798828, 131.53396606445312, 127.8228988647461]","[135.25131225585938, 129.3154296875, 126.83187866210938, 127.00104522705078, 127.1084976196289, 128.5532684326172, 119.52246856689453, 131.781005859375, 129.13528442382812, 126.50909423828125, 132.94003295898438]","[129.0157928466797, 129.26670837402344, 129.4698028564453, 125.21903228759766, 130.82064819335938, 133.0349578857422, 115.17835235595703, 136.26223754882812, 127.7733383178711, 126.91268157958984, 128.1774444580078]","[125.9835205078125, 131.60316467285156, 131.67498779296875, 129.6183319091797, 130.23878479003906, 124.29631805419922, 132.95298767089844, 126.64771270751953, 129.63157653808594, 131.4514617919922, 131.11636352539062]","[130.66024780273438, 128.86036682128906, 124.91807556152344, 131.50579833984375, 131.1363067626953, 128.50193786621094, 133.27987670898438, 122.60135650634766, 135.42575073242188, 129.82435607910156, 124.17936706542969]","[131.1386260986328, 131.46705627441406, 122.9095230102539, 128.80320739746094, 134.1855926513672, 129.99066162109375, 128.5517120361328, 124.26722717285156, 112.59144592285156, 134.65414428710938, 132.77845764160156]","[145.83229064941406, 148.72434997558594, 145.62477111816406, 148.78762817382812, 136.26441955566406, 146.7664031982422, 154.06280517578125, 151.34999084472656, 148.13455200195312, 150.4242401123047, 153.5952911376953]","[128.5925750732422, 149.5396728515625, 149.51162719726562, 149.51177978515625, 150.3141632080078, 151.09698486328125, 147.88833618164062, 149.8163299560547, 147.63330078125, 152.4429931640625, 152.2233123779297]","[146.16192626953125, 133.33212280273438, 149.5123748779297, 150.45408630371094, 152.30166625976562, 151.01385498046875, 152.177001953125, 149.58767700195312, 147.77061462402344, 150.07571411132812, 145.11839294433594]"
8000,"[114.88314056396484, 111.02615356445312, 112.99946594238281, 110.13690185546875, 87.29258728027344, 108.50350952148438, 110.78471374511719, 116.07361602783203, 109.1850357055664, 99.8486557006836, 110.96978759765625]","[109.7390365600586, 104.22722625732422, 110.65315246582031, 109.63347625732422, 114.04644012451172, 94.36219787597656, 115.7251205444336, 109.58515167236328, 101.5560531616211, 107.8114013671875, 108.75548553466797]","[103.34609985351562, 108.03672790527344, 111.52979278564453, 107.1615219116211, 101.73421478271484, 108.37950897216797, 109.36724090576172, 107.8660888671875, 109.34808349609375, 105.62939453125, 106.29361724853516]","[105.88031768798828, 105.9561767578125, 108.49232482910156, 104.18457794189453, 107.31724548339844, 111.31919860839844, 107.1689682006836, 92.19770050048828, 104.5428695678711, 115.89319610595703, 106.19183349609375]","[106.6802749633789, 108.44918060302734, 107.62242889404297, 108.52043914794922, 108.3884048461914, 106.5768051147461, 110.50955200195312, 77.4386978149414, 106.73814392089844, 112.25862884521484, 112.74431610107422]","[107.51042175292969, 112.65936279296875, 111.07931518554688, 107.5379867553711, 109.18900299072266, 104.8233871459961, 108.67333984375, 92.74717712402344, 111.42251586914062, 115.35637664794922, 112.45326232910156]","[115.17437744140625, 108.84709930419922, 112.02497100830078, 114.51876068115234, 111.94010925292969, 91.4942855834961, 108.08727264404297, 113.12960052490234, 106.57134246826172, 106.72008514404297, 108.67814636230469]","[108.48148345947266, 104.64349365234375, 104.40438842773438, 101.5738525390625, 113.10838317871094, 106.71987915039062, 99.61442565917969, 106.34840393066406, 104.663818359375, 103.22891235351562, 106.97378540039062]","[117.50723266601562, 109.47139739990234, 111.11154174804688, 110.42182159423828, 115.02140045166016, 107.57771301269531, 98.83081817626953, 106.95157623291016, 98.91144561767578, 115.19246673583984, 78.0641098022461]","[111.9951400756836, 120.7957992553711, 107.67777252197266, 95.9433364868164, 105.82219696044922, 115.48230743408203, 114.68476104736328, 107.84512329101562, 109.57928466796875, 106.44583892822266, 101.44063568115234]"
10000,"[80.94952392578125, 85.10391235351562, 89.36886596679688, 80.76029205322266, 87.29651641845703, 74.45553588867188, 85.84989166259766, 84.462158203125, 81.03749084472656, 74.3453369140625, 85.67823028564453]","[79.28462219238281, 80.20539855957031, 84.78611755371094, 87.5631332397461, 73.4532470703125, 82.68370056152344, 83.34135437011719, 83.43543243408203, 86.55561065673828, 74.59215545654297, 85.87971496582031]","[78.06832885742188, 83.1970443725586, 80.00395202636719, 67.75492095947266, 74.23558807373047, 77.43089294433594, 76.31100463867188, 81.23698425292969, 77.06214141845703, 84.95072937011719, 80.98445129394531]","[85.72193145751953, 85.1439437866211, 79.5454330444336, 81.118896484375, 73.30668640136719, 79.92794799804688, 79.7199478149414, 80.19872283935547, 82.9799575805664, 78.80632019042969, 80.49898529052734]","[76.22885131835938, 78.48776245117188, 80.94572448730469, 79.69269561767578, 81.32783508300781, 84.6315689086914, 78.2430648803711, 82.08723449707031, 82.44512176513672, 79.65444946289062, 78.83014678955078]","[81.34908294677734, 81.28693389892578, 81.37328338623047, 80.81013488769531, 86.65531158447266, 78.37052154541016, 82.85118865966797, 79.7615966796875, 84.31398010253906, 83.1307373046875, 82.44947052001953]","[60.44951248168945, 82.02296447753906, 81.49199676513672, 80.55557250976562, 81.06800842285156, 83.72419738769531, 76.80368041992188, 77.35074615478516, 81.20841217041016, 82.2544937133789, 82.75338745117188]","[75.62486267089844, 83.47856903076172, 85.81856536865234, 84.09960174560547, 84.44961547851562, 84.31880950927734, 84.46661376953125, 83.8099136352539, 89.20095825195312, 85.43537902832031, 74.71077728271484]","[93.79328918457031, 106.38436889648438, 101.6419677734375, 91.25284576416016, 97.34869384765625, 97.95162200927734, 95.39554595947266, 113.52400207519531, 102.45024108886719, 99.76004028320312, 101.14479064941406]","[86.38467407226562, 85.98753356933594, 82.63397216796875, 89.7532958984375, 87.42991638183594, 84.92181396484375, 91.77384948730469, 91.19168090820312, 93.37482452392578, 88.27180480957031, 93.80382537841797]"
12000,"[61.444766998291016, 73.69891357421875, 64.7679443359375, 68.39604187011719, 72.578125, 83.08194732666016, 67.38785552978516, 72.38521575927734, 62.42094421386719, 69.3691177368164, 77.72002410888672]","[61.57747268676758, 71.93974304199219, 70.54399108886719, 71.64659881591797, 57.03046417236328, 74.07368469238281, 75.59700012207031, 70.76451873779297, 69.04988861083984, 70.00064849853516, 66.07249450683594]","[74.55683135986328, 73.5612564086914, 70.48277282714844, 62.174686431884766, 67.97203063964844, 71.71430206298828, 70.11731719970703, 70.72817993164062, 67.18186950683594, 73.29141998291016, 70.76005554199219]","[65.60379791259766, 68.19157409667969, 65.57532501220703, 75.3216323852539, 70.62188720703125, 72.50140380859375, 81.71380615234375, 62.87254333496094, 76.85064697265625, 70.11152648925781, 66.99885559082031]","[72.87654876708984, 76.16773223876953, 75.91451263427734, 72.73849487304688, 64.48363494873047, 69.47583770751953, 71.35691833496094, 65.9074478149414, 67.62096405029297, 73.28504943847656, 75.99242401123047]","[70.47721099853516, 74.57845306396484, 71.41230773925781, 71.44343566894531, 78.03987884521484, 74.32305145263672, 63.16239929199219, 70.59579467773438, 68.01004791259766, 74.9770736694336, 63.3089599609375]","[73.62992095947266, 71.69109344482422, 68.59101867675781, 72.24839782714844, 73.20269775390625, 89.24533081054688, 62.09311294555664, 73.11121368408203, 73.65704345703125, 75.6868667602539, 66.5649185180664]","[69.49087524414062, 67.01740264892578, 59.68156814575195, 66.31697845458984, 70.06575775146484, 65.56397247314453, 70.4201431274414, 68.27197265625, 60.54670333862305, 68.60750579833984, 68.56568908691406]","[57.09876251220703, 73.6105728149414, 76.0578384399414, 72.49777221679688, 69.60359191894531, 72.6566162109375, 70.98847198486328, 70.457763671875, 71.12433624267578, 73.90689849853516, 73.49749755859375]","[74.57498168945312, 74.15825653076172, 69.61170959472656, 66.4183349609375, 72.37937927246094, 72.09152221679688, 59.10142135620117, 72.12291717529297, 69.769287109375, 41.15500259399414, 73.00221252441406]"
16000,"[60.36674880981445, 53.47202682495117, 57.175086975097656, 58.289642333984375, 50.8438720703125, 56.164955139160156, 60.19821548461914, 52.58708953857422, 70.29103088378906, 54.886253356933594, 59.5557861328125]","[60.326904296875, 63.612815856933594, 57.138267517089844, 57.319129943847656, 68.9363021850586, 57.240238189697266, 60.398033142089844, 59.188377380371094, 59.304603576660156, 58.69104766845703, 61.482261657714844]","[59.596893310546875, 56.98612594604492, 56.5848388671875, 61.043453216552734, 62.02163314819336, 61.49784469604492, 58.37010955810547, 53.434444427490234, 58.39948654174805, 62.344322204589844, 52.18305587768555]","[59.125892639160156, 58.44194793701172, 62.46162414550781, 61.62257385253906, 60.662132263183594, 55.947872161865234, 58.418312072753906, 59.61564636230469, 56.890262603759766, 56.936710357666016, 65.32059478759766]","[62.485233306884766, 51.493003845214844, 59.423484802246094, 60.04213333129883, 60.650177001953125, 60.47036361694336, 64.9000015258789, 53.20042037963867, 58.59144973754883, 54.17830276489258, 60.7906494140625]","[40.55109786987305, 58.24456787109375, 54.334346771240234, 57.62494659423828, 60.40473556518555, 53.046138763427734, 59.812808990478516, 55.76306915283203, 61.360660552978516, 61.69685745239258, 55.948734283447266]","[55.1292610168457, 73.11422729492188, 64.21942138671875, 59.42210006713867, 52.320396423339844, 55.76652526855469, 58.13514709472656, 60.179359436035156, 59.995460510253906, 60.50523376464844, 61.923728942871094]","[52.439971923828125, 58.27550506591797, 58.89934158325195, 53.395511627197266, 61.72085952758789, 59.57737350463867, 61.40916442871094, 57.31934356689453, 57.11848831176758, 60.0366096496582, 69.52544403076172]","[60.07368469238281, 61.00144958496094, 49.728614807128906, 58.79036331176758, 61.60749053955078, 55.5042724609375, 60.7877311706543, 61.4185905456543, 62.34968948364258, 53.903228759765625, 59.82893753051758]","[64.68746948242188, 60.607601165771484, 61.02878952026367, 60.67520523071289, 58.571739196777344, 60.31028747558594, 62.144859313964844, 53.39167785644531, 59.3280029296875, 61.50239944458008, 60.504886627197266]"
20000,"[49.499263763427734, 46.6358528137207, 52.178646087646484, 45.864898681640625, 53.09721374511719, 47.02403259277344, 52.032108306884766, 52.226898193359375, 53.966583251953125, 53.92108917236328, 49.15351486206055]","[46.84075927734375, 39.460418701171875, 41.23123550415039, 45.04723358154297, 42.363887786865234, 45.60037612915039, 43.49661636352539, 40.596378326416016, 41.30941390991211, 42.206703186035156, 41.825103759765625]","[41.62153625488281, 46.958106994628906, 45.553279876708984, 41.4865837097168, 43.224185943603516, 44.225807189941406, 38.13962173461914, 40.52686309814453, 40.1947135925293, 41.2618522644043, 37.57175064086914]","[39.77302932739258, 42.62143325805664, 40.15782165527344, 42.64543914794922, 43.02638244628906, 38.95520782470703, 41.60262680053711, 42.13994598388672, 42.84669876098633, 44.524085998535156, 41.57570266723633]","[49.367759704589844, 41.56678771972656, 43.32487106323242, 43.903160095214844, 38.23445510864258, 41.620906829833984, 40.90762710571289, 43.42123031616211, 43.97580337524414, 39.48896408081055, 41.18537902832031]","[40.65127944946289, 42.990638732910156, 48.600006103515625, 42.46653366088867, 44.661563873291016, 42.860328674316406, 41.42767333984375, 40.094905853271484, 41.60598373413086, 41.647953033447266, 43.03757858276367]","[40.83152770996094, 42.65425491333008, 43.13119888305664, 40.58698272705078, 46.40242004394531, 45.600257873535156, 42.68165969848633, 42.478233337402344, 39.226409912109375, 52.80195236206055, 41.256412506103516]","[51.922176361083984, 49.666236877441406, 51.765625, 49.982765197753906, 50.95870590209961, 48.14326477050781, 51.65660095214844, 49.57431411743164, 55.729984283447266, 48.89271926879883, 49.35400390625]","[47.96552276611328, 45.56486892700195, 50.46148681640625, 47.12692642211914, 48.471641540527344, 46.512672424316406, 52.02690505981445, 50.35446548461914, 47.927955627441406, 48.463623046875, 48.766090393066406]","[49.32574462890625, 50.56928253173828, 50.97450256347656, 47.20523452758789, 49.53099822998047, 49.3177490234375, 42.26053237915039, 48.422607421875, 43.529727935791016, 48.634674072265625, 51.96633529663086]"
24000,"[51.97774124145508, 48.53321838378906, 44.354042053222656, 50.781288146972656, 49.23167037963867, 43.283058166503906, 47.201805114746094, 48.00464630126953, 49.29806900024414, 49.93162155151367, 47.72254180908203]","[38.380638122558594, 41.08852005004883, 39.712646484375, 42.6915168762207, 42.804542541503906, 58.902774810791016, 40.36321258544922, 43.35460662841797, 37.6869010925293, 40.565887451171875, 42.285335540771484]","[37.935829162597656, 59.714744567871094, 43.115901947021484, 41.222442626953125, 40.105953216552734, 41.08396530151367, 37.91265869140625, 41.072635650634766, 43.27793884277344, 40.7209587097168, 36.089420318603516]","[39.261661529541016, 41.17129898071289, 40.09701919555664, 41.99287414550781, 42.42580795288086, 39.42903137207031, 54.585880279541016, 39.54770278930664, 43.95066452026367, 40.37534713745117, 39.85416030883789]","[46.15652847290039, 43.46169662475586, 37.31865310668945, 40.97764587402344, 39.628482818603516, 42.362098693847656, 39.641563415527344, 38.42477035522461, 39.24858474731445, 39.32912826538086, 41.51029968261719]","[40.130157470703125, 52.59666061401367, 40.72919464111328, 40.5965576171875, 39.86884307861328, 40.04655838012695, 41.970802307128906, 41.311710357666016, 41.38032913208008, 41.543113708496094, 43.81410598754883]","[40.99306106567383, 41.05173110961914, 39.64922332763672, 43.5554313659668, 77.99465942382812, 41.65399169921875, 41.514122009277344, 42.26016616821289, 39.796756744384766, 40.408443450927734, 41.5784797668457]","[54.89649963378906, 54.5860481262207, 55.869140625, 54.437259674072266, 54.8331184387207, 53.310203552246094, 50.80669021606445, 54.92914962768555, 52.67521286010742, 56.37617874145508, 64.95361328125]","[39.769447326660156, 41.876888275146484, 41.49774932861328, 42.80695724487305, 39.874351501464844, 41.31211471557617, 38.469139099121094, 41.2065315246582, 39.63492202758789, 39.919189453125, 42.50448226928711]","[40.774566650390625, 41.07693099975586, 39.94257354736328, 39.22666549682617, 42.02839279174805, 41.47705841064453, 39.5383186340332, 40.79983901977539, 42.58005905151367, 39.15773010253906, 40.02649688720703]"
28000,"[45.55661392211914, 52.11664581298828, 54.53349304199219, 53.93684005737305, 55.90383529663086, 42.738929748535156, 52.21903610229492, 53.28676986694336, 52.34745788574219, 56.06782913208008, 52.888614654541016]","[38.164894104003906, 40.642391204833984, 42.01287078857422, 39.07839584350586, 41.1816520690918, 40.49189376831055, 34.89356994628906, 39.26997756958008, 38.86872482299805, 40.191768646240234, 37.251102447509766]","[44.55769348144531, 39.764644622802734, 41.502079010009766, 43.233577728271484, 39.398841857910156, 37.81427001953125, 39.47063446044922, 40.08709716796875, 38.875850677490234, 40.36933898925781, 39.774208068847656]","[40.43950653076172, 37.53846740722656, 39.786399841308594, 41.80842590332031, 40.226505279541016, 69.14129638671875, 40.478553771972656, 38.49162673950195, 36.51594543457031, 42.097328186035156, 39.604576110839844]","[65.0141830444336, 42.68593215942383, 37.13086700439453, 39.33449172973633, 39.61518478393555, 44.73794174194336, 38.115333557128906, 39.76029586791992, 43.59027862548828, 36.58859634399414, 41.057674407958984]","[39.437381744384766, 38.65791320800781, 42.53684616088867, 41.98114776611328, 39.003265380859375, 40.883968353271484, 42.06409454345703, 40.601844787597656, 40.400272369384766, 42.931888580322266, 38.07573699951172]","[43.118431091308594, 42.0164680480957, 40.494197845458984, 43.922786712646484, 40.086708068847656, 40.93722915649414, 43.120914459228516, 39.831298828125, 39.206092834472656, 42.457340240478516, 41.7265625]","[51.636146545410156, 54.459800720214844, 49.65207290649414, 53.10392379760742, 52.55774688720703, 54.09382629394531, 54.46315002441406, 52.329524993896484, 54.95512008666992, 54.951961517333984, 67.26399993896484]","[41.05870056152344, 44.81886291503906, 40.967288970947266, 40.53123474121094, 38.59385299682617, 41.21882629394531, 40.493980407714844, 41.682945251464844, 40.22850036621094, 41.34662628173828, 41.20480728149414]","[40.4768180847168, 43.379032135009766, 39.909568786621094, 40.49846649169922, 42.829322814941406, 39.94786834716797, 41.72494888305664, 38.362953186035156, 40.67229461669922, 41.484195709228516, 37.9134635925293]"
32000,"[52.759952545166016, 50.79582595825195, 56.60055160522461, 57.296295166015625, 55.24518585205078, 51.968482971191406, 56.651145935058594, 51.191650390625, 48.00634765625, 51.99309158325195, 56.46940994262695]","[39.075889587402344, 42.208335876464844, 40.018890380859375, 37.70718002319336, 40.92390060424805, 38.04200744628906, 50.169517517089844, 42.03746795654297, 36.676658630371094, 40.46186065673828, 37.984031677246094]","[42.18922424316406, 40.96684265136719, 40.320369720458984, 39.993186950683594, 39.648048400878906, 53.12353515625, 42.07349395751953, 40.17666244506836, 37.714141845703125, 41.5894775390625, 39.70444869995117]","[40.680992126464844, 42.392704010009766, 40.575401306152344, 41.43612289428711, 41.39979934692383, 55.956024169921875, 35.80036544799805, 42.86714172363281, 42.91328430175781, 41.15045928955078, 43.49335861206055]","[42.352813720703125, 43.698307037353516, 43.45630645751953, 39.102439880371094, 41.39823913574219, 42.34774398803711, 42.88320541381836, 42.78109359741211, 42.22168731689453, 41.41122055053711, 66.28793334960938]","[38.72114181518555, 43.138710021972656, 44.90236282348633, 43.24822235107422, 43.52470779418945, 56.22262191772461, 43.23774719238281, 41.678287506103516, 42.31597137451172, 40.09743118286133, 39.62403869628906]","[41.20930862426758, 41.85960388183594, 40.23648452758789, 43.67433166503906, 43.38217544555664, 41.543392181396484, 40.145545959472656, 39.23340606689453, 42.09033966064453, 42.169219970703125, 41.22966766357422]","[53.612388610839844, 55.512107849121094, 54.88164520263672, 52.49559783935547, 52.98972702026367, 50.66609573364258, 52.320064544677734, 52.00661087036133, 53.29167938232422, 54.25749969482422, 49.776031494140625]","[52.39823532104492, 41.947235107421875, 35.89619827270508, 40.22760009765625, 40.85226058959961, 44.414615631103516, 40.06791305541992, 41.336761474609375, 41.03763961791992, 39.014854431152344, 40.65384292602539]","[39.0229377746582, 40.97274398803711, 39.146141052246094, 40.17544937133789, 37.136905670166016, 59.392696380615234, 40.54104232788086, 42.279747009277344, 42.90997314453125, 39.32878875732422, 39.08683395385742]"
