,MP3: BitRate = 32 kb/s,MP3: BitRate = 96 kb/s,MP3: BitRate = 128 kb/s,MP3: BitRate = 160 kb/s,MP3: BitRate = 192 kb/s,MP3: BitRate = 256 kb/s,MP3: BitRate = 320 kb/s,WAV: Bit Depth = 8,WAV: Bit Depth = 16,WAV: Bit Depth = 24
4000,"[192.54051208496094, 215.5477294921875, 217.32447814941406, 218.13729858398438, 217.93321228027344, 209.7198486328125, 218.88531494140625, 214.48365783691406, 220.27362060546875, 219.7216796875, 217.10781860351562]","[181.5673370361328, 222.179931640625, 218.9586944580078, 206.48782348632812, 213.44615173339844, 213.9932861328125, 213.4619140625, 209.38111877441406, 220.66610717773438, 222.86647033691406, 201.5086669921875]","[194.95872497558594, 214.18431091308594, 217.4156951904297, 219.56936645507812, 218.49838256835938, 218.0337677001953, 215.08465576171875, 221.15489196777344, 212.001953125, 222.9628143310547, 221.90635681152344]","[200.1959991455078, 222.22935485839844, 216.17568969726562, 219.30638122558594, 206.18194580078125, 213.08038330078125, 218.15577697753906, 221.8965606689453, 218.7502899169922, 223.915771484375, 216.8173370361328]","[199.91510009765625, 217.25343322753906, 214.39329528808594, 217.75254821777344, 208.55809020996094, 217.07411193847656, 217.66751098632812, 215.385498046875, 221.0352783203125, 221.31964111328125, 210.28785705566406]","[202.0395965576172, 217.75204467773438, 210.50411987304688, 216.91342163085938, 205.68856811523438, 215.34779357910156, 216.84823608398438, 214.0814971923828, 216.8001251220703, 220.8863525390625, 214.78610229492188]","[208.54747009277344, 213.64944458007812, 216.01084899902344, 214.6776885986328, 217.43414306640625, 221.17428588867188, 219.5935516357422, 182.29241943359375, 217.90245056152344, 209.82382202148438, 216.9545135498047]","[203.1826171875, 226.57777404785156, 232.22128295898438, 226.55838012695312, 220.15243530273438, 231.83575439453125, 226.88778686523438, 231.86602783203125, 226.86285400390625, 236.71371459960938, 233.38404846191406]","[211.7121124267578, 223.77102661132812, 225.78176879882812, 224.37258911132812, 225.38497924804688, 227.229736328125, 225.07293701171875, 230.42343139648438, 229.79226684570312, 228.1898193359375, 226.65115356445312]","[211.4285888671875, 225.95748901367188, 230.48788452148438, 223.1475067138672, 227.25254821777344, 227.37612915039062, 223.0240020751953, 230.5937957763672, 234.277587890625, 233.87399291992188, 224.9091339111328]"
6000,"[154.40478515625, 157.76499938964844, 156.62474060058594, 156.3827667236328, 145.49525451660156, 151.1857452392578, 149.7386932373047, 149.5327606201172, 148.55303955078125, 141.7408447265625, 151.88961791992188]","[149.8609161376953, 142.5951690673828, 153.75331115722656, 153.59332275390625, 150.94613647460938, 145.8675537109375, 143.9861297607422, 156.74786376953125, 152.491455078125, 154.38453674316406, 153.7107391357422]","[131.6045379638672, 155.24876403808594, 155.5952911376953, 149.82598876953125, 151.9947052001953, 144.22186279296875, 151.38323974609375, 141.6473846435547, 153.33888244628906, 152.17892456054688, 153.7012176513672]","[126.18685913085938, 152.56338500976562, 155.0171356201172, 149.65093994140625, 151.78167724609375, 144.84544372558594, 149.59400939941406, 147.2465362548828, 152.46603393554688, 150.23928833007812, 150.39744567871094]","[122.83185577392578, 152.92605590820312, 152.1942138671875, 147.23849487304688, 150.5684356689453, 147.4652862548828, 140.07183837890625, 153.2416229248047, 152.8311004638672, 151.8057403564453, 145.5522918701172]","[117.54519653320312, 155.84144592285156, 149.56228637695312, 151.79530334472656, 148.4499969482422, 155.93748474121094, 147.20196533203125, 148.01177978515625, 155.4239501953125, 144.87957763671875, 144.91600036621094]","[114.32130432128906, 156.96951293945312, 149.50357055664062, 153.49514770507812, 149.71495056152344, 148.13905334472656, 151.35574340820312, 150.67620849609375, 142.59071350097656, 147.88919067382812, 145.34400939941406]","[177.32138061523438, 145.6104736328125, 171.3972625732422, 180.80235290527344, 178.27305603027344, 178.65745544433594, 169.6335906982422, 173.78448486328125, 174.0048370361328, 173.50558471679688, 172.6759490966797]","[162.53807067871094, 171.13255310058594, 172.2747344970703, 169.50242614746094, 169.28985595703125, 168.36566162109375, 169.00042724609375, 166.00401306152344, 167.586669921875, 173.37547302246094, 164.80299377441406]","[147.11541748046875, 169.4917449951172, 178.17337036132812, 178.49124145507812, 171.30955505371094, 174.18527221679688, 174.87501525878906, 171.4922637939453, 166.7525177001953, 178.83462524414062, 172.57080078125]"
8000,"[105.38671112060547, 112.23149871826172, 127.15304565429688, 127.02405548095703, 121.71693420410156, 117.56446838378906, 123.25115966796875, 117.49807739257812, 121.33531951904297, 120.04639434814453, 122.89735412597656]","[103.15985870361328, 123.52511596679688, 126.19964599609375, 125.74185943603516, 119.74349975585938, 125.10077667236328, 125.32090759277344, 116.80523681640625, 119.37896728515625, 118.02107238769531, 122.58964538574219]","[103.13985443115234, 125.67227935791016, 127.7420654296875, 128.976806640625, 122.90029907226562, 124.6874771118164, 119.81603240966797, 123.99187469482422, 121.8970718383789, 122.6434555053711, 120.95762634277344]","[100.03677368164062, 125.74240112304688, 123.81853485107422, 129.8959197998047, 111.3458251953125, 122.18472290039062, 124.09330749511719, 125.54501342773438, 123.9120864868164, 128.84686279296875, 119.06069946289062]","[106.67282104492188, 126.60065460205078, 127.6604232788086, 123.64286804199219, 120.65821075439453, 126.64807891845703, 120.16210174560547, 118.31082916259766, 125.23390197753906, 135.43820190429688, 122.03913879394531]","[97.2602310180664, 118.9718017578125, 124.79109191894531, 120.48145294189453, 127.2613296508789, 126.09455871582031, 121.73513793945312, 117.97771453857422, 120.80072784423828, 129.77891540527344, 123.81982421875]","[97.01596069335938, 126.83544158935547, 116.37384796142578, 122.37748718261719, 117.94957733154297, 114.66506958007812, 123.15348815917969, 116.55803680419922, 123.09156799316406, 126.42359924316406, 116.87213134765625]","[102.99909973144531, 128.4719696044922, 125.74375915527344, 131.28665161132812, 129.03842163085938, 120.54695892333984, 127.74693298339844, 115.9400634765625, 127.2079086303711, 128.14874267578125, 121.48534393310547]","[120.25337219238281, 128.5994415283203, 129.17648315429688, 129.24534606933594, 127.9189453125, 120.62459564208984, 118.85565948486328, 119.07413482666016, 127.83429718017578, 126.70330810546875, 122.7385482788086]","[117.5146713256836, 124.98873138427734, 122.97002410888672, 129.60501098632812, 127.043212890625, 119.37093353271484, 123.61824798583984, 118.08685302734375, 125.50518798828125, 126.11564636230469, 120.77039337158203]"
10000,"[88.1039047241211, 88.81600952148438, 85.05783081054688, 83.0673828125, 85.9481430053711, 76.40803527832031, 90.15571594238281, 88.53707122802734, 94.54763793945312, 86.1151351928711, 93.29948425292969]","[71.2035140991211, 88.44190979003906, 92.42704772949219, 87.20153045654297, 83.89665222167969, 90.59613800048828, 88.58515167236328, 90.71605682373047, 92.01435089111328, 82.49107360839844, 88.08008575439453]","[89.04003143310547, 84.02217864990234, 95.95204162597656, 92.9292984008789, 93.72315216064453, 95.24507904052734, 79.74231719970703, 89.96951293945312, 84.54463195800781, 84.0603256225586, 84.88163757324219]","[73.4666748046875, 89.70249938964844, 90.91072845458984, 86.53170013427734, 85.93545532226562, 89.91020965576172, 81.96565246582031, 107.10065460205078, 80.93737030029297, 79.91485595703125, 84.30328369140625]","[78.01984405517578, 88.48153686523438, 87.79566192626953, 81.81830596923828, 83.48517608642578, 90.36742401123047, 84.23015594482422, 88.26170349121094, 79.88845825195312, 87.07835388183594, 84.18592071533203]","[66.45026397705078, 88.74813079833984, 91.95758056640625, 90.75949096679688, 84.81385040283203, 80.98152923583984, 82.3219223022461, 105.55860137939453, 82.8092269897461, 85.01170349121094, 84.89071655273438]","[75.45446014404297, 91.49945831298828, 94.1392822265625, 95.95228576660156, 87.34810638427734, 87.06013488769531, 82.16117095947266, 92.2495346069336, 87.2038345336914, 73.98763275146484, 86.68937683105469]","[86.75550079345703, 100.1531982421875, 100.53489685058594, 97.73890686035156, 99.41952514648438, 103.32091522216797, 96.14837646484375, 96.64517211914062, 87.82019805908203, 96.28044891357422, 93.68914031982422]","[157.2694854736328, 156.1712188720703, 155.93089294433594, 157.0753936767578, 152.7169189453125, 142.22686767578125, 168.6624755859375, 158.26104736328125, 154.22369384765625, 161.86151123046875, 170.92001342773438]","[80.41031646728516, 100.47775268554688, 99.09998321533203, 98.94127655029297, 94.21375274658203, 100.37248229980469, 93.99884796142578, 113.07862854003906, 96.72168731689453, 95.42393493652344, 95.77789306640625]"
12000,"[68.80963134765625, 79.46441650390625, 82.84158325195312, 75.36425018310547, 71.67170715332031, 80.78314971923828, 72.7908706665039, 80.16448974609375, 69.99523162841797, 81.90267944335938, 92.53409576416016]","[79.30293273925781, 75.85267639160156, 74.69657135009766, 73.96148681640625, 62.332984924316406, 77.20040893554688, 64.64227294921875, 79.40403747558594, 75.0305404663086, 58.647132873535156, 77.30062866210938]","[86.7502670288086, 74.41748809814453, 83.0280990600586, 76.20430755615234, 88.70987701416016, 78.18022155761719, 78.81160736083984, 79.10527801513672, 72.00582122802734, 78.82244873046875, 75.86945343017578]","[71.27098083496094, 77.10354614257812, 83.05296325683594, 70.4124984741211, 74.3017349243164, 77.4223403930664, 77.7816390991211, 80.27594757080078, 69.13202667236328, 81.4734115600586, 78.73863983154297]","[61.326072692871094, 77.83992004394531, 81.62757110595703, 71.65487670898438, 78.61754608154297, 80.18801879882812, 74.38541412353516, 77.77910614013672, 66.86219787597656, 79.56696319580078, 75.85550689697266]","[61.42782974243164, 74.79438781738281, 76.11483764648438, 75.82984161376953, 75.93022918701172, 79.97283935546875, 71.09964752197266, 74.8303451538086, 72.69799041748047, 80.00625610351562, 73.97602844238281]","[67.58441162109375, 78.59695434570312, 82.87945556640625, 76.62017059326172, 71.34760284423828, 89.52770233154297, 81.14344024658203, 79.22028350830078, 62.961544036865234, 81.00267028808594, 76.9985122680664]","[69.47901916503906, 77.66057586669922, 79.79318237304688, 80.4544448852539, 73.90103912353516, 70.7344741821289, 74.44072723388672, 77.75569915771484, 60.85388946533203, 71.16165161132812, 73.70948791503906]","[61.990943908691406, 80.24771881103516, 84.44123077392578, 78.94171142578125, 73.88609313964844, 76.87384033203125, 73.70230865478516, 77.36273193359375, 76.2882080078125, 75.46734619140625, 74.77360534667969]","[52.59880828857422, 80.8138427734375, 86.17959594726562, 77.55469512939453, 73.55388641357422, 74.1442642211914, 77.19889831542969, 89.36983489990234, 68.96771240234375, 77.0342025756836, 72.48800659179688]"
16000,"[49.1032600402832, 52.062744140625, 45.768707275390625, 46.953773498535156, 49.25012969970703, 47.15544509887695, 37.740745544433594, 52.93977737426758, 42.990440368652344, 43.94384765625, 46.257938385009766]","[39.95779800415039, 52.014915466308594, 46.27498245239258, 48.487144470214844, 46.115909576416016, 44.79271697998047, 42.65699005126953, 52.252017974853516, 36.618682861328125, 40.63557815551758, 45.55625534057617]","[41.176944732666016, 48.70464324951172, 48.74915313720703, 44.2783203125, 42.14063262939453, 43.887603759765625, 37.09152603149414, 44.626731872558594, 43.38184356689453, 43.5806884765625, 45.65179443359375]","[40.7725830078125, 49.24052810668945, 46.372562408447266, 47.48964309692383, 43.78969955444336, 47.17117691040039, 39.51274871826172, 42.74568557739258, 43.4583625793457, 41.73994827270508, 43.818119049072266]","[51.987064361572266, 51.66877746582031, 40.86322784423828, 44.78630447387695, 47.914791107177734, 47.51197052001953, 38.45259094238281, 46.23168182373047, 47.74776840209961, 42.877037048339844, 45.31133270263672]","[46.05705642700195, 52.783790588378906, 45.080074310302734, 42.66225051879883, 51.011409759521484, 46.879981994628906, 33.666175842285156, 45.49029541015625, 46.48481369018555, 43.39170455932617, 42.57672882080078]","[50.06068801879883, 52.487125396728516, 46.333648681640625, 44.88597106933594, 47.17512130737305, 43.611793518066406, 38.03572082519531, 47.996734619140625, 47.38763427734375, 45.66750717163086, 43.7414436340332]","[45.70534133911133, 46.559349060058594, 46.97797393798828, 45.85846710205078, 45.32671356201172, 44.07651901245117, 35.176124572753906, 46.88461685180664, 45.27078628540039, 44.34154510498047, 40.31861877441406]","[55.078128814697266, 51.22505569458008, 52.82815170288086, 44.36215591430664, 45.26023483276367, 47.29193878173828, 38.746368408203125, 76.64303588867188, 35.64810562133789, 49.96881103515625, 49.154293060302734]","[43.059696197509766, 40.38068771362305, 53.6954460144043, 52.73263931274414, 63.7406005859375, 49.02519989013672, 43.09852981567383, 34.989253997802734, 45.303829193115234, 66.51251220703125, 47.36299514770508]"
20000,"[50.356605529785156, 45.5914421081543, 45.025962829589844, 35.96599197387695, 38.02665328979492, 37.7718505859375, 37.90555953979492, 44.65411376953125, 37.5644416809082, 43.30268859863281, 40.87591552734375]","[33.1867790222168, 41.9466438293457, 47.049400329589844, 27.498361587524414, 33.63813400268555, 40.82097625732422, 32.657955169677734, 32.984371185302734, 31.370216369628906, 33.8570556640625, 32.97877883911133]","[36.48033905029297, 43.48933792114258, 38.07712936401367, 33.98920822143555, 33.74335479736328, 35.88042449951172, 32.874019622802734, 42.11955642700195, 32.42218780517578, 31.033226013183594, 32.82636642456055]","[69.70394134521484, 41.74003219604492, 37.85554885864258, 31.01611328125, 31.802005767822266, 39.20167922973633, 34.817176818847656, 52.02605056762695, 33.8450927734375, 30.119831085205078, 32.498268127441406]","[33.552188873291016, 39.90918731689453, 42.88075637817383, 53.61821365356445, 33.66310501098633, 37.72836685180664, 32.79356384277344, 40.644588470458984, 35.4051399230957, 30.897092819213867, 31.69232749938965]","[35.984371185302734, 41.2614631652832, 40.6068000793457, 27.63265609741211, 34.723960876464844, 36.40046310424805, 32.41535949707031, 45.14984893798828, 34.316497802734375, 32.5694580078125, 30.722972869873047]","[48.42922592163086, 43.426876068115234, 43.1163330078125, 29.996522903442383, 33.009185791015625, 40.81153106689453, 35.43916320800781, 48.414188385009766, 30.101228713989258, 34.272987365722656, 35.83789825439453]","[76.66737365722656, 53.751922607421875, 51.248714447021484, 47.9890022277832, 47.371612548828125, 45.61855697631836, 46.6382942199707, 53.32211685180664, 48.47111511230469, 46.90547561645508, 47.70235061645508]","[39.999778747558594, 46.2626838684082, 37.113807678222656, 37.0064582824707, 36.19088363647461, 38.29689025878906, 33.03649139404297, 49.91891860961914, 34.57194900512695, 34.739017486572266, 36.604522705078125]","[34.60044860839844, 46.973876953125, 37.77079772949219, 40.464134216308594, 37.09243392944336, 38.63831329345703, 31.163005828857422, 49.43581771850586, 34.349063873291016, 32.68296813964844, 34.8250617980957]"
24000,"[67.70830535888672, 53.67694091796875, 59.9192008972168, 56.85849380493164, 60.492740631103516, 58.4849739074707, 53.58694076538086, 54.50796127319336, 53.440696716308594, 58.02764892578125, 50.45967102050781]","[48.00202941894531, 30.219770431518555, 42.27001953125, 34.22042465209961, 48.09767532348633, 40.0411491394043, 29.362239837646484, 49.28455352783203, 29.031911849975586, 36.36925506591797, 34.59636306762695]","[30.841901779174805, 32.68520736694336, 33.14752197265625, 34.188236236572266, 42.96661376953125, 38.12995910644531, 44.914329528808594, 30.293052673339844, 34.11273193359375, 37.98451614379883, 29.687984466552734]","[36.90787124633789, 33.20176315307617, 44.219112396240234, 30.025236129760742, 41.634605407714844, 37.66651153564453, 26.862812042236328, 51.44723892211914, 31.152713775634766, 32.862300872802734, 59.839752197265625]","[44.89869689941406, 27.774375915527344, 44.2733154296875, 27.068939208984375, 47.106056213378906, 46.78837203979492, 26.1216983795166, 38.765872955322266, 28.465248107910156, 37.175289154052734, 51.128170013427734]","[35.481449127197266, 28.872920989990234, 48.04728317260742, 30.94093894958496, 48.45220947265625, 45.25514602661133, 26.789833068847656, 42.31256866455078, 29.860769271850586, 38.8546142578125, 36.90800476074219]","[40.2400016784668, 30.43912124633789, 47.41073989868164, 36.24479675292969, 47.611534118652344, 44.42784881591797, 27.39362144470215, 58.46495056152344, 29.608009338378906, 35.17705535888672, 38.053382873535156]","[78.40177154541016, 73.07432556152344, 76.31443786621094, 69.50592041015625, 69.32176208496094, 67.75701904296875, 69.14129638671875, 64.65973663330078, 66.76123046875, 71.15433502197266, 70.23184967041016]","[43.84902572631836, 41.96400833129883, 50.172000885009766, 31.729890823364258, 30.95409393310547, 39.45380401611328, 31.191347122192383, 32.68138885498047, 32.02819061279297, 37.68153762817383, 37.84593963623047]","[32.07508850097656, 43.873565673828125, 50.94594955444336, 28.276655197143555, 32.4114875793457, 37.24598693847656, 30.751314163208008, 33.102943420410156, 26.758670806884766, 36.021583557128906, 37.022125244140625]"
28000,"[56.63553237915039, 46.50101852416992, 45.44973373413086, 46.125946044921875, 54.77362823486328, 50.607566833496094, 39.24431610107422, 44.45191192626953, 52.3516845703125, 51.531639099121094, 40.93418502807617]","[49.62631607055664, 31.0460205078125, 30.41550064086914, 32.32151412963867, 36.80809783935547, 39.22471618652344, 29.212308883666992, 31.192502975463867, 39.792972564697266, 39.341636657714844, 29.784835815429688]","[38.41695785522461, 29.204553604125977, 38.055694580078125, 35.40275192260742, 47.294368743896484, 36.863914489746094, 30.02470588684082, 35.78157043457031, 37.9519157409668, 30.569665908813477, 36.35612106323242]","[34.48053741455078, 28.28811264038086, 62.77093505859375, 39.0533561706543, 33.45596694946289, 32.82683181762695, 48.216217041015625, 29.966449737548828, 36.71671676635742, 30.36932945251465, 44.735469818115234]","[46.83663558959961, 29.406883239746094, 35.47025680541992, 39.32365798950195, 44.60939407348633, 43.59206771850586, 29.10043716430664, 37.867034912109375, 40.166648864746094, 30.69386100769043, 30.17885398864746]","[36.15534973144531, 30.827068328857422, 31.653160095214844, 34.035118103027344, 47.220149993896484, 45.1939811706543, 28.947725296020508, 28.82912826538086, 39.892608642578125, 28.835844039916992, 29.413772583007812]","[30.182058334350586, 31.486618041992188, 31.55992317199707, 32.43156051635742, 44.53485107421875, 43.150367736816406, 27.268030166625977, 30.438798904418945, 46.431217193603516, 36.34745407104492, 29.309267044067383]","[73.94158172607422, 66.07495880126953, 69.5523910522461, 66.85969543457031, 75.95053100585938, 68.11955261230469, 68.61315155029297, 68.00586700439453, 67.91616821289062, 66.66524505615234, 69.76827239990234]","[30.673707962036133, 34.756011962890625, 38.669281005859375, 26.948989868164062, 40.534297943115234, 55.422279357910156, 30.83343505859375, 39.728782653808594, 34.90220260620117, 50.207847595214844, 44.39170837402344]","[43.972835540771484, 30.82638168334961, 35.22922897338867, 46.24800109863281, 48.67655563354492, 40.84588623046875, 27.131725311279297, 34.63739776611328, 29.53716468811035, 33.735774993896484, 38.8773193359375]"
32000,"[49.421058654785156, 44.14268493652344, 55.08217239379883, 49.070655822753906, 44.679500579833984, 43.95744323730469, 43.1598014831543, 51.04645538330078, 55.32389831542969, 50.96105194091797, 47.232303619384766]","[53.27162551879883, 28.041139602661133, 44.692142486572266, 36.94711685180664, 29.118749618530273, 36.326820373535156, 24.675390243530273, 47.71797180175781, 46.70613098144531, 41.87452697753906, 28.621992111206055]","[30.21963119506836, 28.588851928710938, 35.311302185058594, 30.528844833374023, 29.459606170654297, 37.826133728027344, 27.517213821411133, 41.24676513671875, 41.6832389831543, 42.30451202392578, 32.38566970825195]","[45.762115478515625, 26.904237747192383, 39.21770477294922, 38.33049392700195, 26.83807945251465, 37.39311218261719, 27.678173065185547, 38.039058685302734, 41.9852180480957, 41.576271057128906, 33.07164764404297]","[26.672473907470703, 40.97176742553711, 38.20492935180664, 26.52486228942871, 38.3333854675293, 30.809402465820312, 47.98194122314453, 41.11415100097656, 40.95554733276367, 33.19365692138672, 32.76597595214844]","[38.4610710144043, 25.731346130371094, 43.212066650390625, 40.244014739990234, 45.204742431640625, 37.043434143066406, 30.222620010375977, 47.42977523803711, 62.68016052246094, 39.36093521118164, 33.803260803222656]","[50.24168395996094, 26.064510345458984, 47.027740478515625, 43.208404541015625, 30.660003662109375, 37.54298782348633, 28.215925216674805, 81.72433471679688, 49.043609619140625, 41.4647102355957, 34.252933502197266]","[66.57899475097656, 63.58595657348633, 66.56476593017578, 65.0053939819336, 63.707664489746094, 67.14434051513672, 63.17509078979492, 67.5619888305664, 70.2182846069336, 69.52686309814453, 66.73080444335938]","[57.98295974731445, 30.070907592773438, 30.824247360229492, 35.188987731933594, 34.67269515991211, 37.90798568725586, 27.91736602783203, 32.70350646972656, 38.56719207763672, 43.620689392089844, 32.628482818603516]","[55.80207443237305, 29.56009864807129, 29.36139678955078, 29.25373649597168, 31.698762893676758, 38.985294342041016, 29.50904655456543, 32.69286346435547, 43.27688980102539, 44.53795623779297, 34.07155990600586]"
