,MP3: BitRate = 32 kb/s,MP3: BitRate = 96 kb/s,MP3: BitRate = 128 kb/s,MP3: BitRate = 160 kb/s,MP3: BitRate = 192 kb/s,MP3: BitRate = 256 kb/s,MP3: BitRate = 320 kb/s,WAV: Bit Depth = 8,WAV: Bit Depth = 16,WAV: Bit Depth = 24
4000,"[78.0110855102539, 71.23226165771484, 77.94381713867188, 65.60108947753906, 76.66285705566406, 74.39090728759766, 79.53720092773438, 73.46458435058594, 73.48636627197266, 78.16407012939453, 65.10816192626953]","[84.34063720703125, 79.14099884033203, 70.0416488647461, 74.84662628173828, 68.87641143798828, 76.08131408691406, 66.1919937133789, 74.36087799072266, 75.5675277709961, 70.22506713867188, 78.87635040283203]","[50.97287368774414, 73.66636657714844, 71.57261657714844, 77.48872375488281, 76.71802520751953, 80.27336883544922, 68.75089263916016, 77.30482482910156, 74.43081665039062, 70.28785705566406, 83.3149185180664]","[49.52717208862305, 73.10621643066406, 69.4670639038086, 80.72562408447266, 78.22520446777344, 76.78753662109375, 69.17815399169922, 73.42893981933594, 78.4179916381836, 70.28845977783203, 72.28521728515625]","[65.16622161865234, 76.48470306396484, 69.09246063232422, 79.0739517211914, 79.03453063964844, 73.38180541992188, 68.18424987792969, 76.646240234375, 77.8701171875, 73.79090881347656, 78.25880432128906]","[55.500732421875, 79.8116683959961, 76.60674285888672, 74.23051452636719, 82.81625366210938, 74.69590759277344, 69.50911712646484, 79.33280944824219, 77.66447448730469, 73.18669128417969, 78.97151184082031]","[66.89523315429688, 78.5287094116211, 77.0359115600586, 74.28902435302734, 71.19121551513672, 77.81350708007812, 70.3779067993164, 77.90373229980469, 74.5938491821289, 75.21232604980469, 83.06806945800781]","[49.3463020324707, 61.292903900146484, 63.25334548950195, 62.77632141113281, 61.58498001098633, 60.40079116821289, 62.08299255371094, 68.8179931640625, 63.04195022583008, 61.3946533203125, 67.11004638671875]","[59.379356384277344, 63.61001968383789, 66.14646911621094, 68.8051528930664, 62.01019287109375, 58.7989387512207, 63.546653747558594, 71.86237335205078, 63.054683685302734, 66.46549987792969, 65.72817993164062]","[41.31896209716797, 63.947383880615234, 66.1981430053711, 65.0533676147461, 61.89948654174805, 58.4066047668457, 59.403934478759766, 70.3321533203125, 63.82103729248047, 66.14776611328125, 68.89881134033203]"
6000,"[58.298831939697266, 63.850486755371094, 65.54833221435547, 65.68276977539062, 56.44369125366211, 57.34778594970703, 57.100990295410156, 64.58834075927734, 64.8662109375, 58.77902603149414, 68.64025115966797]","[64.53624725341797, 62.96868896484375, 65.35981750488281, 51.3475456237793, 54.39189147949219, 61.2569465637207, 57.66376876831055, 64.02696228027344, 59.513851165771484, 60.356876373291016, 67.71997833251953]","[60.35537338256836, 61.19499969482422, 59.50596618652344, 70.94256591796875, 52.12791061401367, 63.890380859375, 56.58574676513672, 59.938236236572266, 60.737648010253906, 62.10918045043945, 66.74586486816406]","[93.78653717041016, 62.731651306152344, 63.76515197753906, 70.03048706054688, 51.367950439453125, 56.08511734008789, 57.96659469604492, 62.77892303466797, 63.737239837646484, 60.149322509765625, 68.61149597167969]","[74.64269256591797, 65.87654113769531, 58.02099609375, 69.3021011352539, 47.780006408691406, 55.9925537109375, 54.35990524291992, 65.00083923339844, 65.97764587402344, 60.91342544555664, 65.91567993164062]","[61.068912506103516, 67.0976791381836, 62.51923370361328, 70.23065948486328, 41.92226791381836, 53.97945022583008, 55.834041595458984, 63.9577522277832, 68.21561431884766, 59.99019241333008, 68.33504486083984]","[41.86453628540039, 66.05481719970703, 66.9067153930664, 63.35902404785156, 48.36656188964844, 57.89291000366211, 59.516815185546875, 60.5761833190918, 67.81959533691406, 60.00830078125, 70.00564575195312]","[68.57109069824219, 47.989315032958984, 49.91758728027344, 57.37641143798828, 49.870460510253906, 53.55360794067383, 47.414066314697266, 55.19168472290039, 53.400779724121094, 52.78315353393555, 59.4924430847168]","[46.666015625, 59.203521728515625, 51.07718276977539, 60.2780876159668, 55.80657958984375, 54.7454833984375, 53.19272232055664, 55.30763626098633, 55.285987854003906, 54.229881286621094, 57.7746467590332]","[53.00116729736328, 48.074806213378906, 55.245643615722656, 57.84142303466797, 52.81698989868164, 52.585662841796875, 53.17927932739258, 56.18440628051758, 52.729270935058594, 54.50634002685547, 56.52178192138672]"
8000,"[46.23015213012695, 70.45098876953125, 59.39530944824219, 64.14842987060547, 57.50347900390625, 47.84751510620117, 57.27842712402344, 66.22139739990234, 67.49540710449219, 62.502525329589844, 58.11804962158203]","[84.70763397216797, 66.94596862792969, 56.588314056396484, 60.450626373291016, 50.45355224609375, 58.977149963378906, 56.66782760620117, 65.1369857788086, 63.922157287597656, 61.798065185546875, 59.32597732543945]","[58.01321029663086, 53.490455627441406, 56.49556350708008, 61.56483840942383, 65.67218780517578, 61.182373046875, 69.7729263305664, 49.163658142089844, 62.309932708740234, 60.86164855957031, 34.19516372680664]","[60.68440246582031, 59.01119613647461, 66.43177795410156, 52.2209587097168, 60.03194046020508, 59.76272201538086, 59.99949264526367, 60.76603698730469, 68.72626495361328, 60.772804260253906, 66.13545227050781]","[77.7391128540039, 62.23530960083008, 63.80971908569336, 50.82633590698242, 61.920127868652344, 55.42075729370117, 59.56473159790039, 63.46725082397461, 65.07384490966797, 64.26895904541016, 65.61288452148438]","[65.88768768310547, 65.27973175048828, 60.03904342651367, 62.02399444580078, 61.69550323486328, 56.71672058105469, 60.297916412353516, 62.121009826660156, 64.63784790039062, 62.579612731933594, 65.2626724243164]","[54.16413116455078, 65.8935317993164, 61.832725524902344, 63.60447311401367, 62.548770904541016, 57.47626876831055, 59.16850280761719, 63.16197204589844, 69.39781951904297, 62.59949493408203, 61.160499572753906]","[59.504764556884766, 52.500762939453125, 54.94700241088867, 31.05910301208496, 48.827266693115234, 45.55870819091797, 41.34468078613281, 48.81219482421875, 51.557586669921875, 52.08456802368164, 58.364131927490234]","[49.902835845947266, 58.662879943847656, 43.889549255371094, 49.52539825439453, 50.48747634887695, 57.07938766479492, 42.924171447753906, 44.569129943847656, 50.58052444458008, 52.500213623046875, 53.77088928222656]","[41.2786750793457, 53.688846588134766, 54.91448974609375, 41.778053283691406, 45.4869384765625, 51.56894302368164, 49.349491119384766, 53.682220458984375, 51.172271728515625, 52.08906173706055, 60.085121154785156]"
10000,"[68.20845794677734, 61.0921630859375, 43.858097076416016, 52.019317626953125, 56.8544921875, 51.40754318237305, 63.267337799072266, 62.00626754760742, 52.376548767089844, 57.0623893737793, 61.89840316772461]","[50.691314697265625, 54.5313835144043, 52.34098815917969, 62.68535614013672, 61.41630935668945, 61.75918197631836, 60.5707893371582, 63.68516159057617, 56.15505599975586, 66.2755355834961, 39.8809928894043]","[56.590457916259766, 66.68114471435547, 50.630332946777344, 61.56708526611328, 64.69151306152344, 47.81928253173828, 56.234275817871094, 59.296321868896484, 56.60486602783203, 52.985260009765625, 65.14801788330078]","[42.81032943725586, 52.005916595458984, 44.39149475097656, 60.50776290893555, 62.22346496582031, 53.41422653198242, 59.39480209350586, 57.28572463989258, 55.50181198120117, 53.57447814941406, 67.81111145019531]","[51.09917068481445, 59.876220703125, 52.38199234008789, 58.69333267211914, 62.25360107421875, 51.888797760009766, 59.8736572265625, 56.999691009521484, 59.11756896972656, 55.88211441040039, 61.25835037231445]","[32.75819778442383, 64.20503997802734, 50.002803802490234, 55.46061325073242, 63.994651794433594, 55.28285598754883, 59.99753952026367, 60.12321090698242, 57.60463333129883, 58.437110900878906, 60.48820114135742]","[47.21341323852539, 62.701236724853516, 42.327030181884766, 49.825592041015625, 59.13254165649414, 50.692317962646484, 60.895084381103516, 62.113006591796875, 56.95734786987305, 57.72629165649414, 65.88948822021484]","[53.11598587036133, 54.105613708496094, 40.40756607055664, 48.90052795410156, 51.75873947143555, 36.89312744140625, 46.62411880493164, 48.252769470214844, 44.664825439453125, 40.828407287597656, 55.22554016113281]","[56.907413482666016, 45.45719909667969, 60.41111755371094, 47.51359939575195, 53.46674346923828, 51.46177673339844, 43.68743896484375, 57.216800689697266, 53.09907150268555, 41.93305206298828, 46.98282241821289]","[70.79914855957031, 57.175743103027344, 48.042945861816406, 49.91836929321289, 56.253849029541016, 42.330848693847656, 54.532588958740234, 50.94358444213867, 45.147518157958984, 41.65918731689453, 54.87129211425781]"
12000,"[35.503108978271484, 62.69259262084961, 34.09003829956055, 60.5994987487793, 55.26503372192383, 59.41109085083008, 66.7825698852539, 60.02578353881836, 65.33708953857422, 58.32972717285156, 62.73943328857422]","[93.11400604248047, 67.08544921875, 37.69147872924805, 64.90335845947266, 62.7631950378418, 58.992828369140625, 64.50737762451172, 56.58411407470703, 65.29104614257812, 62.985809326171875, 60.16886520385742]","[47.27134704589844, 59.89714431762695, 43.068851470947266, 64.01880645751953, 58.83995056152344, 57.55076217651367, 64.39350128173828, 52.68873977661133, 61.711585998535156, 64.06111145019531, 67.11263275146484]","[42.74387741088867, 63.45127487182617, 33.30147171020508, 61.191566467285156, 60.678340911865234, 59.87039566040039, 67.37977600097656, 57.79927062988281, 64.71283721923828, 59.63368606567383, 69.02867889404297]","[43.01302719116211, 64.77252197265625, 49.87966537475586, 63.38041687011719, 58.78250503540039, 56.16878128051758, 66.2347412109375, 56.0548210144043, 64.98822021484375, 61.94697189331055, 64.93196105957031]","[42.758541107177734, 63.568214416503906, 59.551734924316406, 65.12786865234375, 62.01068878173828, 59.84349060058594, 62.464454650878906, 56.05375289916992, 62.394596099853516, 59.21424102783203, 67.02944946289062]","[65.5346908569336, 65.7312240600586, 109.1834716796875, 65.97994232177734, 60.60725021362305, 63.78461456298828, 65.06841278076172, 59.24446105957031, 66.75917053222656, 62.73051834106445, 65.25145721435547]","[47.54177474975586, 57.57969665527344, 31.330974578857422, 54.23378372192383, 56.640045166015625, 45.1212272644043, 52.517662048339844, 47.550201416015625, 56.13029861450195, 53.5064697265625, 56.50745391845703]","[62.220645904541016, 61.4520149230957, 33.04000473022461, 49.698116302490234, 52.981990814208984, 47.96870803833008, 56.97392654418945, 55.045291900634766, 51.0959587097168, 51.08352279663086, 56.646636962890625]","[63.48910140991211, 55.52143859863281, 30.60870933532715, 54.741455078125, 58.68450927734375, 48.84697341918945, 56.986793518066406, 52.04669189453125, 57.55404281616211, 54.512428283691406, 58.76380157470703]"
16000,"[68.40502166748047, 64.19733428955078, 50.923858642578125, 58.45414352416992, 60.69924545288086, 56.20771026611328, 60.97798538208008, 59.96392822265625, 54.60218811035156, 49.77521896362305, 52.267303466796875]","[66.00675201416016, 64.50814819335938, 54.08017349243164, 54.345863342285156, 54.27882385253906, 63.21934127807617, 63.256412506103516, 61.558692932128906, 54.27049255371094, 59.950504302978516, 51.427207946777344]","[69.20091247558594, 53.978912353515625, 62.36519241333008, 62.71138381958008, 58.80924987792969, 63.57414245605469, 59.098777770996094, 63.38608932495117, 54.77107620239258, 64.16853332519531, 53.930240631103516]","[85.05580139160156, 68.74685668945312, 59.51863479614258, 65.38644409179688, 60.72039031982422, 51.449562072753906, 62.90686798095703, 62.71758270263672, 62.43306350708008, 54.430850982666016, 63.99894332885742]","[56.98496627807617, 65.42171478271484, 58.018550872802734, 61.56487274169922, 61.54542541503906, 51.77084732055664, 63.86134719848633, 64.3141098022461, 63.92470932006836, 51.5323600769043, 59.26775360107422]","[51.81766128540039, 65.11146545410156, 55.07719802856445, 60.92986297607422, 62.46409606933594, 56.490116119384766, 59.15357208251953, 61.34263229370117, 63.89360427856445, 53.540489196777344, 60.70156478881836]","[90.3486557006836, 67.07197570800781, 52.08689498901367, 62.42646408081055, 62.491844177246094, 56.962432861328125, 61.88283157348633, 61.13469696044922, 64.00385284423828, 56.678218841552734, 59.544349670410156]","[49.460079193115234, 52.36099624633789, 48.52198791503906, 53.9663200378418, 58.716617584228516, 41.12786865234375, 51.75495529174805, 55.76408004760742, 41.67133712768555, 54.00600051879883, 49.17366409301758]","[59.02253723144531, 58.71120834350586, 37.73844528198242, 57.470027923583984, 55.988494873046875, 48.35615158081055, 55.80121994018555, 55.418582916259766, 56.24999237060547, 51.533939361572266, 49.98491668701172]","[70.40412139892578, 59.673038482666016, 38.92570114135742, 57.42995071411133, 56.464141845703125, 48.031009674072266, 58.27452850341797, 54.806060791015625, 54.32140350341797, 53.26213455200195, 50.24875259399414]"
20000,"[47.259178161621094, 62.49308776855469, 58.877864837646484, 61.647010803222656, 49.12971496582031, 57.392887115478516, 60.386619567871094, 56.91659164428711, 59.45452117919922, 52.139400482177734, 60.232421875]","[60.57731628417969, 62.541988372802734, 62.4625129699707, 65.63916778564453, 55.45644760131836, 58.856292724609375, 61.56630325317383, 58.763423919677734, 65.3553466796875, 56.47506332397461, 59.44282913208008]","[53.929100036621094, 53.53420639038086, 55.576133728027344, 56.01092529296875, 64.23573303222656, 61.977134704589844, 65.13166046142578, 46.807884216308594, 62.285213470458984, 58.42500305175781, 58.60881805419922]","[64.78562927246094, 67.5116958618164, 62.857486724853516, 57.42916488647461, 44.239463806152344, 57.525054931640625, 61.44294738769531, 59.754154205322266, 59.233642578125, 54.50749206542969, 58.88776397705078]","[40.87750244140625, 64.42328643798828, 63.19257354736328, 66.21197509765625, 40.917171478271484, 61.435890197753906, 60.87472152709961, 57.73460388183594, 61.804954528808594, 56.05774688720703, 62.097694396972656]","[49.75706100463867, 61.92439270019531, 62.62660598754883, 64.72501373291016, 42.61753463745117, 57.913047790527344, 61.0272331237793, 51.439117431640625, 67.89059448242188, 49.94666290283203, 60.34297180175781]","[30.131200790405273, 64.56227111816406, 59.96626281738281, 64.37338256835938, 42.32459259033203, 57.35146713256836, 59.02244567871094, 55.8111572265625, 63.25118637084961, 50.98325729370117, 62.909461975097656]","[49.29838562011719, 56.341670989990234, 48.790653228759766, 56.318599700927734, 40.34568405151367, 55.86931228637695, 49.953121185302734, 46.59242248535156, 46.033302307128906, 42.60466003417969, 44.06509017944336]","[48.496337890625, 57.622371673583984, 46.74716567993164, 51.11673355102539, 43.057071685791016, 56.114112854003906, 51.05069351196289, 50.47760772705078, 55.89580154418945, 53.12980270385742, 44.972686767578125]","[49.276309967041016, 58.214908599853516, 49.73250198364258, 56.0425910949707, 47.390445709228516, 57.77632522583008, 49.788455963134766, 50.44801712036133, 50.22396469116211, 52.18678665161133, 48.464332580566406]"
24000,"[39.5328254699707, 57.2673454284668, 60.02280807495117, 59.94000244140625, 58.59053421020508, 53.42963409423828, 56.068115234375, 58.85395431518555, 57.904144287109375, 54.422183990478516, 57.85847091674805]","[42.792579650878906, 58.715633392333984, 61.40324401855469, 64.1070327758789, 61.2072639465332, 59.95951843261719, 58.99089813232422, 60.94794845581055, 55.735897064208984, 52.11701202392578, 57.50197982788086]","[34.5964469909668, 62.626426696777344, 62.08696365356445, 63.950496673583984, 58.15557098388672, 62.633174896240234, 57.371971130371094, 55.59135818481445, 55.47450637817383, 49.58674621582031, 60.63560485839844]","[57.57832336425781, 58.49045181274414, 58.17058181762695, 53.931976318359375, 62.23086929321289, 58.96255874633789, 62.01261520385742, 60.455963134765625, 62.482261657714844, 58.78480911254883, 63.628265380859375]","[42.34600067138672, 63.09894561767578, 61.64237594604492, 62.444129943847656, 59.026268005371094, 61.171627044677734, 59.14231872558594, 55.15839767456055, 58.722450256347656, 49.34392547607422, 62.09318161010742]","[60.244544982910156, 60.80236053466797, 62.142799377441406, 61.90397644042969, 58.915077209472656, 64.79400634765625, 56.535675048828125, 55.525718688964844, 58.89304733276367, 54.359249114990234, 61.31879806518555]","[46.57588577270508, 60.466468811035156, 63.140865325927734, 59.84736251831055, 59.08077621459961, 62.98814010620117, 54.92717361450195, 55.397281646728516, 56.5966911315918, 54.008522033691406, 64.0328140258789]","[46.04189682006836, 55.53615188598633, 53.48537063598633, 57.59483337402344, 48.63700485229492, 55.830867767333984, 48.31855392456055, 53.112754821777344, 47.51988983154297, 37.126068115234375, 55.1905517578125]","[64.10647583007812, 53.11074447631836, 52.343055725097656, 54.78644943237305, 49.37061309814453, 52.60499954223633, 53.244590759277344, 52.78006362915039, 56.650089263916016, 42.10337448120117, 52.239009857177734]","[55.81655502319336, 56.58637237548828, 54.3881950378418, 57.370487213134766, 46.62668228149414, 56.431396484375, 51.839500427246094, 56.12805938720703, 51.11548614501953, 38.742244720458984, 53.228946685791016]"
28000,"[66.90496063232422, 63.70979309082031, 58.22742462158203, 59.488380432128906, 50.924293518066406, 49.522769927978516, 52.599857330322266, 59.56086349487305, 58.67095184326172, 57.13220977783203, 55.76278305053711]","[64.52863311767578, 64.94808197021484, 60.82994079589844, 64.88509368896484, 55.52375030517578, 51.744300842285156, 52.34574508666992, 54.83189010620117, 62.470802307128906, 57.86664581298828, 54.89641571044922]","[46.798065185546875, 61.35088348388672, 62.492408752441406, 62.294158935546875, 53.189170837402344, 55.03284454345703, 55.254398345947266, 57.346923828125, 58.65233612060547, 49.01079177856445, 46.625328063964844]","[41.12544631958008, 63.18754196166992, 60.81892776489258, 60.11130905151367, 50.5524787902832, 56.79430389404297, 55.7020378112793, 60.45464324951172, 63.568851470947266, 50.78850555419922, 50.296695709228516]","[56.25847244262695, 60.97932815551758, 49.43950271606445, 55.829559326171875, 49.731197357177734, 58.933555603027344, 55.67876434326172, 57.39522933959961, 48.035972595214844, 36.26774215698242, 60.448848724365234]","[38.997108459472656, 55.769287109375, 53.61175537109375, 58.67918014526367, 46.2727165222168, 44.00103759765625, 44.644901275634766, 54.10005187988281, 53.64503479003906, 49.765140533447266, 48.53877258300781]","[38.01414108276367, 57.42097473144531, 54.129276275634766, 56.14756393432617, 47.987396240234375, 46.24919509887695, 46.17752456665039, 49.73344421386719, 53.82013702392578, 52.08978271484375, 50.73333740234375]","[52.29139709472656, 50.25590896606445, 51.865203857421875, 52.32900619506836, 48.79685592651367, 52.81309509277344, 46.861507415771484, 53.648193359375, 50.04145050048828, 46.497196197509766, 44.09080123901367]","[52.06571578979492, 55.64665985107422, 53.9691276550293, 55.594627380371094, 53.733665466308594, 49.137393951416016, 52.54606628417969, 54.439842224121094, 55.196998596191406, 50.71074676513672, 45.93095779418945]","[45.13703155517578, 50.059871673583984, 55.748531341552734, 51.863460540771484, 52.06303787231445, 43.918155670166016, 50.60045623779297, 57.8514518737793, 54.139854431152344, 57.330387115478516, 55.081974029541016]"
32000,"[65.2988052368164, 61.38080596923828, 57.53472900390625, 63.78205871582031, 56.49106216430664, 57.95003890991211, 53.774742126464844, 60.69630813598633, 54.48535919189453, 55.77096176147461, 61.16889190673828]","[53.88785171508789, 67.23397064208984, 62.43666076660156, 66.12285614013672, 61.385868072509766, 59.918739318847656, 55.68227767944336, 63.84166717529297, 54.57365417480469, 53.65839385986328, 64.37632751464844]","[45.47662353515625, 64.94620513916016, 57.44426345825195, 65.34754180908203, 57.80236053466797, 58.32667922973633, 56.638309478759766, 61.65088653564453, 61.240074157714844, 56.54074478149414, 57.73652648925781]","[80.05496978759766, 67.00740814208984, 56.78620529174805, 64.4560546875, 55.81135559082031, 53.78361511230469, 58.3753776550293, 57.74647903442383, 63.04939270019531, 51.27305603027344, 63.87818145751953]","[57.343162536621094, 63.61500549316406, 57.546539306640625, 63.53290557861328, 53.648536682128906, 55.52628707885742, 54.17387771606445, 58.01506042480469, 56.955204010009766, 49.47942352294922, 59.46186447143555]","[51.79824447631836, 59.117679595947266, 51.49755859375, 57.152591705322266, 52.50115203857422, 55.59767532348633, 48.0211296081543, 55.54069137573242, 53.520748138427734, 46.363380432128906, 55.77308654785156]","[78.6344223022461, 58.2059440612793, 51.01032638549805, 57.13995361328125, 51.26432800292969, 48.73405456542969, 51.06452560424805, 55.09909439086914, 50.77157974243164, 52.27373504638672, 53.83694839477539]","[55.54727554321289, 56.29249572753906, 50.93121337890625, 55.25551223754883, 47.51470184326172, 46.646663665771484, 48.416996002197266, 55.73966598510742, 46.021121978759766, 40.69222640991211, 49.6329231262207]","[85.65503692626953, 57.49285888671875, 55.043983459472656, 56.17972946166992, 48.80915832519531, 54.7956428527832, 45.06211471557617, 55.40545654296875, 50.1297721862793, 48.37004470825195, 49.231300354003906]","[56.42430114746094, 58.25461959838867, 55.03882598876953, 54.6956787109375, 48.09347915649414, 49.96016311645508, 49.687679290771484, 55.055015563964844, 51.15119934082031, 49.58681106567383, 50.3279914855957]"
